結	1	□□□□，□□□結
溢	1	四時不和，害氣蕃溢
疾	1	嗟命何辜，獨遭斯疾
游	1	□□□（勞），忽然遠游
丘	1	將即幽都，歸于電丘
流	1	涼風滲淋，寒水北流
期	1	□□□□，□□□期
滋	1	痛哉仁人，積德若滋
施	1	孔子大聖，抱道不施
此	1	□□□淵，亦遇此（菑）
有	1	守善不報，自古有之
離	1	非獨孝琚，遭逢百離
覆	1	□□□□，□□□覆
洽	1	恨不伸志，翻揚隆洽
修	1	身滅名存，美稱修（飭）
昆	1	□□□（日吉），流惠後昆
延	1	四時祭祀，煙火連延
人	1	萬歲不絕，勖于後人
流	滋	18	Mou2008.030.1
流	施	18	Mou2008.030.1
流	此	18	Mou2008.030.1
流	有	18	Mou2008.030.1
流	離	18	Mou2008.030.1
流	覆	18	Mou2008.030.1
流	洽	18	Mou2008.030.1
流	修	18	Mou2008.030.1
流	昆	18	Mou2008.030.1
流	延	18	Mou2008.030.1
流	人	18	Mou2008.030.1
期	滋	18	Mou2008.030.1
期	施	18	Mou2008.030.1
期	此	18	Mou2008.030.1
期	有	18	Mou2008.030.1
期	離	18	Mou2008.030.1
期	覆	18	Mou2008.030.1
期	洽	18	Mou2008.030.1
期	修	18	Mou2008.030.1
期	昆	18	Mou2008.030.1
期	延	18	Mou2008.030.1
期	人	18	Mou2008.030.1
滋	施	18	Mou2008.030.1
滋	此	18	Mou2008.030.1
滋	有	18	Mou2008.030.1
滋	離	18	Mou2008.030.1
滋	覆	18	Mou2008.030.1
滋	洽	18	Mou2008.030.1
滋	修	18	Mou2008.030.1
滋	昆	18	Mou2008.030.1
滋	延	18	Mou2008.030.1
滋	人	18	Mou2008.030.1
施	此	18	Mou2008.030.1
施	有	18	Mou2008.030.1
施	離	18	Mou2008.030.1
施	覆	18	Mou2008.030.1
施	洽	18	Mou2008.030.1
施	修	18	Mou2008.030.1
施	昆	18	Mou2008.030.1
施	延	18	Mou2008.030.1
施	人	18	Mou2008.030.1
此	有	18	Mou2008.030.1
此	離	18	Mou2008.030.1
此	覆	18	Mou2008.030.1
此	洽	18	Mou2008.030.1
此	修	18	Mou2008.030.1
此	昆	18	Mou2008.030.1
此	延	18	Mou2008.030.1
此	人	18	Mou2008.030.1
有	離	18	Mou2008.030.1
有	覆	18	Mou2008.030.1
有	洽	18	Mou2008.030.1
有	修	18	Mou2008.030.1
有	昆	18	Mou2008.030.1
有	延	18	Mou2008.030.1
有	人	18	Mou2008.030.1
離	覆	18	Mou2008.030.1
離	洽	18	Mou2008.030.1
離	修	18	Mou2008.030.1
離	昆	18	Mou2008.030.1
離	延	18	Mou2008.030.1
離	人	18	Mou2008.030.1
覆	洽	18	Mou2008.030.1
覆	修	18	Mou2008.030.1
覆	昆	18	Mou2008.030.1
覆	延	18	Mou2008.030.1
覆	人	18	Mou2008.030.1
洽	修	18	Mou2008.030.1
洽	昆	18	Mou2008.030.1
洽	延	18	Mou2008.030.1
洽	人	18	Mou2008.030.1
修	昆	18	Mou2008.030.1
修	延	18	Mou2008.030.1
修	人	18	Mou2008.030.1
昆	延	18	Mou2008.030.1
昆	人	18	Mou2008.030.1
延	人	18	Mou2008.030.1
弟	1	維烏維烏，尚懷反報，何況於人，號治四靈，君臣父子，順孫弟弟
日	1	二親薨沒，孤悲惻怛，嗚號正月，旦夕思慕冱心，長网五內，力求天命，年壽非永，百身莫贖，欲廣祠廟，尚無餘日
禮	1	嗚呼，匪愛力財，迫於制度，蓋欲章明孔子葬母，四尺之裔行上德，比承前聖歲少，以降昭皆，永為德儉，人且記入於禮
慎	1	秦仙爰敢宣情，徵之斯石，示有表儀，孝弟之至，通於神明，子孫奉祠，欣肅慎焉
弟	日	4	Mou2008.034.1
弟	禮	4	Mou2008.034.1
弟	慎	4	Mou2008.034.1
日	禮	4	Mou2008.034.1
日	慎	4	Mou2008.034.1
禮	慎	4	Mou2008.034.1
純	1	惟中嶽大室，崇高神君，處茲中夏，伐業最純
雲	1	春生萬物，膚寸起雲
宣	1	潤施原流，鴻濛沛宣
恩	1	竝天四海，莫不蒙恩
賢	1	聖朝肅敬，衆庶所尊，齋誡奉祀，戰慄盡懃，以頌功德，刻石紀文，垂顯述異，以傳後賢
純	雲	5	Mou2008.044.1
純	宣	5	Mou2008.044.1
純	恩	5	Mou2008.044.1
純	賢	5	Mou2008.044.1
雲	宣	5	Mou2008.044.1
雲	恩	5	Mou2008.044.1
雲	賢	5	Mou2008.044.1
宣	恩	5	Mou2008.044.1
宣	賢	5	Mou2008.044.1
恩	賢	5	Mou2008.044.1
川	1	昔者共工，範防百川
原	1	柏鮌稱遂，□□其原
驚	1	洪泉浩浩，下民震驚
玄	1	禹□大功，疏河寫玄
文	1	九山甄旅，咸秩無文
間	1	爰納塗山，辛癸之間
民	1	三過亡入，寔勤斯民
是	1	同心濟【隘】，百川是（正）
秦	1	杞繒漸替，又遭亂秦
神	1	聖漢禋亨，於茲馮神
庭	1	翩彼飛雉，崪於其庭
生	1	貞祥符瑞，靈支挺生
清	1	陵谷鬻化，陰陽穆清
盈	1	興雲降雨，□□□盈
坤	1	守□不歇，比性乾坤
君	1	福祿來（仮），相（宥）我君
孫	1	千秋萬祀，子子孫孫
昆	1	表碣銘功，昭眡後昆
優	1	□□□以作廦，惪洋溢而溥優
搖	1	□□□□為政，（鼎刂）文耀以消搖
休	1	□□□□時雝，皇極正而降休
疇	1	□□□□□穎，芬茲楙于圃疇
條	1	□□□□□閉，木連理與芊條
熹	1	□□□□□盛，胙日新而累熹
朝	1	□□□而慕化，咸來王而會朝
治	1	□□□其清靜，九域尐其脩治
隅	1	□□□□祈福，祀聖母虖山隅
祺	1	神禋亨而飴格，釐我後以萬祺
保	1	于胥樂而罔極，永歷載而保之
川	原	29	Mou2008.045.1
川	驚	29	Mou2008.045.1
川	玄	29	Mou2008.045.1
川	文	29	Mou2008.045.1
川	間	29	Mou2008.045.1
川	民	29	Mou2008.045.1
川	是	29	Mou2008.045.1
川	秦	29	Mou2008.045.1
川	神	29	Mou2008.045.1
川	庭	29	Mou2008.045.1
川	生	29	Mou2008.045.1
川	清	29	Mou2008.045.1
川	盈	29	Mou2008.045.1
川	坤	29	Mou2008.045.1
川	君	29	Mou2008.045.1
川	孫	29	Mou2008.045.1
川	昆	29	Mou2008.045.1
川	優	29	Mou2008.045.1
川	搖	29	Mou2008.045.1
川	休	29	Mou2008.045.1
川	疇	29	Mou2008.045.1
川	條	29	Mou2008.045.1
川	熹	29	Mou2008.045.1
川	朝	29	Mou2008.045.1
川	治	29	Mou2008.045.1
川	隅	29	Mou2008.045.1
川	祺	29	Mou2008.045.1
川	保	29	Mou2008.045.1
原	驚	29	Mou2008.045.1
原	玄	29	Mou2008.045.1
原	文	29	Mou2008.045.1
原	間	29	Mou2008.045.1
原	民	29	Mou2008.045.1
原	是	29	Mou2008.045.1
原	秦	29	Mou2008.045.1
原	神	29	Mou2008.045.1
原	庭	29	Mou2008.045.1
原	生	29	Mou2008.045.1
原	清	29	Mou2008.045.1
原	盈	29	Mou2008.045.1
原	坤	29	Mou2008.045.1
原	君	29	Mou2008.045.1
原	孫	29	Mou2008.045.1
原	昆	29	Mou2008.045.1
原	優	29	Mou2008.045.1
原	搖	29	Mou2008.045.1
原	休	29	Mou2008.045.1
原	疇	29	Mou2008.045.1
原	條	29	Mou2008.045.1
原	熹	29	Mou2008.045.1
原	朝	29	Mou2008.045.1
原	治	29	Mou2008.045.1
原	隅	29	Mou2008.045.1
原	祺	29	Mou2008.045.1
原	保	29	Mou2008.045.1
驚	玄	29	Mou2008.045.1
驚	文	29	Mou2008.045.1
驚	間	29	Mou2008.045.1
驚	民	29	Mou2008.045.1
驚	是	29	Mou2008.045.1
驚	秦	29	Mou2008.045.1
驚	神	29	Mou2008.045.1
驚	庭	29	Mou2008.045.1
驚	生	29	Mou2008.045.1
驚	清	29	Mou2008.045.1
驚	盈	29	Mou2008.045.1
驚	坤	29	Mou2008.045.1
驚	君	29	Mou2008.045.1
驚	孫	29	Mou2008.045.1
驚	昆	29	Mou2008.045.1
驚	優	29	Mou2008.045.1
驚	搖	29	Mou2008.045.1
驚	休	29	Mou2008.045.1
驚	疇	29	Mou2008.045.1
驚	條	29	Mou2008.045.1
驚	熹	29	Mou2008.045.1
驚	朝	29	Mou2008.045.1
驚	治	29	Mou2008.045.1
驚	隅	29	Mou2008.045.1
驚	祺	29	Mou2008.045.1
驚	保	29	Mou2008.045.1
玄	文	29	Mou2008.045.1
玄	間	29	Mou2008.045.1
玄	民	29	Mou2008.045.1
玄	是	29	Mou2008.045.1
玄	秦	29	Mou2008.045.1
玄	神	29	Mou2008.045.1
玄	庭	29	Mou2008.045.1
玄	生	29	Mou2008.045.1
玄	清	29	Mou2008.045.1
玄	盈	29	Mou2008.045.1
玄	坤	29	Mou2008.045.1
玄	君	29	Mou2008.045.1
玄	孫	29	Mou2008.045.1
玄	昆	29	Mou2008.045.1
玄	優	29	Mou2008.045.1
玄	搖	29	Mou2008.045.1
玄	休	29	Mou2008.045.1
玄	疇	29	Mou2008.045.1
玄	條	29	Mou2008.045.1
玄	熹	29	Mou2008.045.1
玄	朝	29	Mou2008.045.1
玄	治	29	Mou2008.045.1
玄	隅	29	Mou2008.045.1
玄	祺	29	Mou2008.045.1
玄	保	29	Mou2008.045.1
文	間	29	Mou2008.045.1
文	民	29	Mou2008.045.1
文	是	29	Mou2008.045.1
文	秦	29	Mou2008.045.1
文	神	29	Mou2008.045.1
文	庭	29	Mou2008.045.1
文	生	29	Mou2008.045.1
文	清	29	Mou2008.045.1
文	盈	29	Mou2008.045.1
文	坤	29	Mou2008.045.1
文	君	29	Mou2008.045.1
文	孫	29	Mou2008.045.1
文	昆	29	Mou2008.045.1
文	優	29	Mou2008.045.1
文	搖	29	Mou2008.045.1
文	休	29	Mou2008.045.1
文	疇	29	Mou2008.045.1
文	條	29	Mou2008.045.1
文	熹	29	Mou2008.045.1
文	朝	29	Mou2008.045.1
文	治	29	Mou2008.045.1
文	隅	29	Mou2008.045.1
文	祺	29	Mou2008.045.1
文	保	29	Mou2008.045.1
間	民	29	Mou2008.045.1
間	是	29	Mou2008.045.1
間	秦	29	Mou2008.045.1
間	神	29	Mou2008.045.1
間	庭	29	Mou2008.045.1
間	生	29	Mou2008.045.1
間	清	29	Mou2008.045.1
間	盈	29	Mou2008.045.1
間	坤	29	Mou2008.045.1
間	君	29	Mou2008.045.1
間	孫	29	Mou2008.045.1
間	昆	29	Mou2008.045.1
間	優	29	Mou2008.045.1
間	搖	29	Mou2008.045.1
間	休	29	Mou2008.045.1
間	疇	29	Mou2008.045.1
間	條	29	Mou2008.045.1
間	熹	29	Mou2008.045.1
間	朝	29	Mou2008.045.1
間	治	29	Mou2008.045.1
間	隅	29	Mou2008.045.1
間	祺	29	Mou2008.045.1
間	保	29	Mou2008.045.1
民	是	29	Mou2008.045.1
民	秦	29	Mou2008.045.1
民	神	29	Mou2008.045.1
民	庭	29	Mou2008.045.1
民	生	29	Mou2008.045.1
民	清	29	Mou2008.045.1
民	盈	29	Mou2008.045.1
民	坤	29	Mou2008.045.1
民	君	29	Mou2008.045.1
民	孫	29	Mou2008.045.1
民	昆	29	Mou2008.045.1
民	優	29	Mou2008.045.1
民	搖	29	Mou2008.045.1
民	休	29	Mou2008.045.1
民	疇	29	Mou2008.045.1
民	條	29	Mou2008.045.1
民	熹	29	Mou2008.045.1
民	朝	29	Mou2008.045.1
民	治	29	Mou2008.045.1
民	隅	29	Mou2008.045.1
民	祺	29	Mou2008.045.1
民	保	29	Mou2008.045.1
是	秦	29	Mou2008.045.1
是	神	29	Mou2008.045.1
是	庭	29	Mou2008.045.1
是	生	29	Mou2008.045.1
是	清	29	Mou2008.045.1
是	盈	29	Mou2008.045.1
是	坤	29	Mou2008.045.1
是	君	29	Mou2008.045.1
是	孫	29	Mou2008.045.1
是	昆	29	Mou2008.045.1
是	優	29	Mou2008.045.1
是	搖	29	Mou2008.045.1
是	休	29	Mou2008.045.1
是	疇	29	Mou2008.045.1
是	條	29	Mou2008.045.1
是	熹	29	Mou2008.045.1
是	朝	29	Mou2008.045.1
是	治	29	Mou2008.045.1
是	隅	29	Mou2008.045.1
是	祺	29	Mou2008.045.1
是	保	29	Mou2008.045.1
秦	神	29	Mou2008.045.1
秦	庭	29	Mou2008.045.1
秦	生	29	Mou2008.045.1
秦	清	29	Mou2008.045.1
秦	盈	29	Mou2008.045.1
秦	坤	29	Mou2008.045.1
秦	君	29	Mou2008.045.1
秦	孫	29	Mou2008.045.1
秦	昆	29	Mou2008.045.1
秦	優	29	Mou2008.045.1
秦	搖	29	Mou2008.045.1
秦	休	29	Mou2008.045.1
秦	疇	29	Mou2008.045.1
秦	條	29	Mou2008.045.1
秦	熹	29	Mou2008.045.1
秦	朝	29	Mou2008.045.1
秦	治	29	Mou2008.045.1
秦	隅	29	Mou2008.045.1
秦	祺	29	Mou2008.045.1
秦	保	29	Mou2008.045.1
神	庭	29	Mou2008.045.1
神	生	29	Mou2008.045.1
神	清	29	Mou2008.045.1
神	盈	29	Mou2008.045.1
神	坤	29	Mou2008.045.1
神	君	29	Mou2008.045.1
神	孫	29	Mou2008.045.1
神	昆	29	Mou2008.045.1
神	優	29	Mou2008.045.1
神	搖	29	Mou2008.045.1
神	休	29	Mou2008.045.1
神	疇	29	Mou2008.045.1
神	條	29	Mou2008.045.1
神	熹	29	Mou2008.045.1
神	朝	29	Mou2008.045.1
神	治	29	Mou2008.045.1
神	隅	29	Mou2008.045.1
神	祺	29	Mou2008.045.1
神	保	29	Mou2008.045.1
庭	生	29	Mou2008.045.1
庭	清	29	Mou2008.045.1
庭	盈	29	Mou2008.045.1
庭	坤	29	Mou2008.045.1
庭	君	29	Mou2008.045.1
庭	孫	29	Mou2008.045.1
庭	昆	29	Mou2008.045.1
庭	優	29	Mou2008.045.1
庭	搖	29	Mou2008.045.1
庭	休	29	Mou2008.045.1
庭	疇	29	Mou2008.045.1
庭	條	29	Mou2008.045.1
庭	熹	29	Mou2008.045.1
庭	朝	29	Mou2008.045.1
庭	治	29	Mou2008.045.1
庭	隅	29	Mou2008.045.1
庭	祺	29	Mou2008.045.1
庭	保	29	Mou2008.045.1
生	清	29	Mou2008.045.1
生	盈	29	Mou2008.045.1
生	坤	29	Mou2008.045.1
生	君	29	Mou2008.045.1
生	孫	29	Mou2008.045.1
生	昆	29	Mou2008.045.1
生	優	29	Mou2008.045.1
生	搖	29	Mou2008.045.1
生	休	29	Mou2008.045.1
生	疇	29	Mou2008.045.1
生	條	29	Mou2008.045.1
生	熹	29	Mou2008.045.1
生	朝	29	Mou2008.045.1
生	治	29	Mou2008.045.1
生	隅	29	Mou2008.045.1
生	祺	29	Mou2008.045.1
生	保	29	Mou2008.045.1
清	盈	29	Mou2008.045.1
清	坤	29	Mou2008.045.1
清	君	29	Mou2008.045.1
清	孫	29	Mou2008.045.1
清	昆	29	Mou2008.045.1
清	優	29	Mou2008.045.1
清	搖	29	Mou2008.045.1
清	休	29	Mou2008.045.1
清	疇	29	Mou2008.045.1
清	條	29	Mou2008.045.1
清	熹	29	Mou2008.045.1
清	朝	29	Mou2008.045.1
清	治	29	Mou2008.045.1
清	隅	29	Mou2008.045.1
清	祺	29	Mou2008.045.1
清	保	29	Mou2008.045.1
盈	坤	29	Mou2008.045.1
盈	君	29	Mou2008.045.1
盈	孫	29	Mou2008.045.1
盈	昆	29	Mou2008.045.1
盈	優	29	Mou2008.045.1
盈	搖	29	Mou2008.045.1
盈	休	29	Mou2008.045.1
盈	疇	29	Mou2008.045.1
盈	條	29	Mou2008.045.1
盈	熹	29	Mou2008.045.1
盈	朝	29	Mou2008.045.1
盈	治	29	Mou2008.045.1
盈	隅	29	Mou2008.045.1
盈	祺	29	Mou2008.045.1
盈	保	29	Mou2008.045.1
坤	君	29	Mou2008.045.1
坤	孫	29	Mou2008.045.1
坤	昆	29	Mou2008.045.1
坤	優	29	Mou2008.045.1
坤	搖	29	Mou2008.045.1
坤	休	29	Mou2008.045.1
坤	疇	29	Mou2008.045.1
坤	條	29	Mou2008.045.1
坤	熹	29	Mou2008.045.1
坤	朝	29	Mou2008.045.1
坤	治	29	Mou2008.045.1
坤	隅	29	Mou2008.045.1
坤	祺	29	Mou2008.045.1
坤	保	29	Mou2008.045.1
君	孫	29	Mou2008.045.1
君	昆	29	Mou2008.045.1
君	優	29	Mou2008.045.1
君	搖	29	Mou2008.045.1
君	休	29	Mou2008.045.1
君	疇	29	Mou2008.045.1
君	條	29	Mou2008.045.1
君	熹	29	Mou2008.045.1
君	朝	29	Mou2008.045.1
君	治	29	Mou2008.045.1
君	隅	29	Mou2008.045.1
君	祺	29	Mou2008.045.1
君	保	29	Mou2008.045.1
孫	昆	29	Mou2008.045.1
孫	優	29	Mou2008.045.1
孫	搖	29	Mou2008.045.1
孫	休	29	Mou2008.045.1
孫	疇	29	Mou2008.045.1
孫	條	29	Mou2008.045.1
孫	熹	29	Mou2008.045.1
孫	朝	29	Mou2008.045.1
孫	治	29	Mou2008.045.1
孫	隅	29	Mou2008.045.1
孫	祺	29	Mou2008.045.1
孫	保	29	Mou2008.045.1
昆	優	29	Mou2008.045.1
昆	搖	29	Mou2008.045.1
昆	休	29	Mou2008.045.1
昆	疇	29	Mou2008.045.1
昆	條	29	Mou2008.045.1
昆	熹	29	Mou2008.045.1
昆	朝	29	Mou2008.045.1
昆	治	29	Mou2008.045.1
昆	隅	29	Mou2008.045.1
昆	祺	29	Mou2008.045.1
昆	保	29	Mou2008.045.1
優	搖	29	Mou2008.045.1
優	休	29	Mou2008.045.1
優	疇	29	Mou2008.045.1
優	條	29	Mou2008.045.1
優	熹	29	Mou2008.045.1
優	朝	29	Mou2008.045.1
優	治	29	Mou2008.045.1
優	隅	29	Mou2008.045.1
優	祺	29	Mou2008.045.1
優	保	29	Mou2008.045.1
搖	休	29	Mou2008.045.1
搖	疇	29	Mou2008.045.1
搖	條	29	Mou2008.045.1
搖	熹	29	Mou2008.045.1
搖	朝	29	Mou2008.045.1
搖	治	29	Mou2008.045.1
搖	隅	29	Mou2008.045.1
搖	祺	29	Mou2008.045.1
搖	保	29	Mou2008.045.1
休	疇	29	Mou2008.045.1
休	條	29	Mou2008.045.1
休	熹	29	Mou2008.045.1
休	朝	29	Mou2008.045.1
休	治	29	Mou2008.045.1
休	隅	29	Mou2008.045.1
休	祺	29	Mou2008.045.1
休	保	29	Mou2008.045.1
疇	條	29	Mou2008.045.1
疇	熹	29	Mou2008.045.1
疇	朝	29	Mou2008.045.1
疇	治	29	Mou2008.045.1
疇	隅	29	Mou2008.045.1
疇	祺	29	Mou2008.045.1
疇	保	29	Mou2008.045.1
條	熹	29	Mou2008.045.1
條	朝	29	Mou2008.045.1
條	治	29	Mou2008.045.1
條	隅	29	Mou2008.045.1
條	祺	29	Mou2008.045.1
條	保	29	Mou2008.045.1
熹	朝	29	Mou2008.045.1
熹	治	29	Mou2008.045.1
熹	隅	29	Mou2008.045.1
熹	祺	29	Mou2008.045.1
熹	保	29	Mou2008.045.1
朝	治	29	Mou2008.045.1
朝	隅	29	Mou2008.045.1
朝	祺	29	Mou2008.045.1
朝	保	29	Mou2008.045.1
治	隅	29	Mou2008.045.1
治	祺	29	Mou2008.045.1
治	保	29	Mou2008.045.1
隅	祺	29	Mou2008.045.1
隅	保	29	Mou2008.045.1
祺	保	29	Mou2008.045.1
聖	1	□乎鴻發，紹內廷□□□□□□□□□穀□聖
房	1	□墳造墓，蘭疏幽房
昆	1	□□勒控，□奉來昆
榮	1	鴻□維□，□□隆榮
顯	1	大協同歸，石立□顯
長	1	爰示後世，台台勿忘，子子孫孫，秉承久長
聖	房	6	Mou2008.051.1
聖	昆	6	Mou2008.051.1
聖	榮	6	Mou2008.051.1
聖	顯	6	Mou2008.051.1
聖	長	6	Mou2008.051.1
房	昆	6	Mou2008.051.1
房	榮	6	Mou2008.051.1
房	顯	6	Mou2008.051.1
房	長	6	Mou2008.051.1
昆	榮	6	Mou2008.051.1
昆	顯	6	Mou2008.051.1
昆	長	6	Mou2008.051.1
榮	顯	6	Mou2008.051.1
榮	長	6	Mou2008.051.1
顯	長	6	Mou2008.051.1
成	1	從事秉德，如玉如瑩，表像所挺，履方【所】（下闕）上，勳力有成
一	1	浩浩兾圡，從事是（糹一八土）
屏	1	所（下闕）是屏
苓	1	何寤不遂，中年殀苓
軨	1	世喪模範，朝以造茲漢安元軨
成	一	5	Mou2008.058.1
成	屏	5	Mou2008.058.1
成	苓	5	Mou2008.058.1
成	軨	5	Mou2008.058.1
一	屏	5	Mou2008.058.1
一	苓	5	Mou2008.058.1
一	軨	5	Mou2008.058.1
屏	苓	5	Mou2008.058.1
屏	軨	5	Mou2008.058.1
苓	軨	5	Mou2008.058.1
妙	1	君幼□顔閔之楙質，長敷斿夏之文學，慈惠寬□，孝友玄妙
籍	1	苞羅術蓺，貫洞聖□，博兼□□，耽綜典籍
回	1	□思□純，求福不回
近	1	清聲美行，闡形遠近
舉	1	州郡貪其高賢幼少，請以□□歲舉
嘉	1	□翼紫宮，□□詔除，光顯王室，有□於國，帝庸嘉之
微	1	掌司古□，領校秘𨞓，研□幽微
萬	1	追昔劉向，辯、賈之徒，比□萬矣
君	1	□朝廷惟憂□□，有司□□舉君
寧	1	□□□□，□□□並，百姓賴之，邦域既寧
右	1	久勞于外，當還本朝，以敘左右
恭	1	其辭曰：於惟武君，允德允恭
鍾	1	受天休命，積祉所鍾
蹤	1	其在孩提，岐嶷發蹤
從	1	謙□守約，唯誼是從
羊	1	孝深《凱風》，志絜《羔羊》
光	1	樂是□□，恬此榮光
廧	1	孳孳臨川，闚見□廧
通	1	𤹯仰萁首，微妙玄通
肱	1	□然清邈，□□□□，□□【升□，爲帝股肱
蒙	1	扶助大和，萬民迺蒙
功	1	顯宗□□，史官書功
凶	1	昊天上帝，𨹓茲鞠凶
宮	1	晻忽徂逝，□□□宮
傷	1	百𨖒惟□，后帝感傷
愴	1	學夫喪師，士女悽愴
忘	1	旌表金石，令問不忘
誦	1	垂□後昆，億載歎誦
妙	籍	28	Mou2008.064.1
妙	回	28	Mou2008.064.1
妙	近	28	Mou2008.064.1
妙	舉	28	Mou2008.064.1
妙	嘉	28	Mou2008.064.1
妙	微	28	Mou2008.064.1
妙	萬	28	Mou2008.064.1
妙	君	28	Mou2008.064.1
妙	寧	28	Mou2008.064.1
妙	右	28	Mou2008.064.1
妙	恭	28	Mou2008.064.1
妙	鍾	28	Mou2008.064.1
妙	蹤	28	Mou2008.064.1
妙	從	28	Mou2008.064.1
妙	羊	28	Mou2008.064.1
妙	光	28	Mou2008.064.1
妙	廧	28	Mou2008.064.1
妙	通	28	Mou2008.064.1
妙	肱	28	Mou2008.064.1
妙	蒙	28	Mou2008.064.1
妙	功	28	Mou2008.064.1
妙	凶	28	Mou2008.064.1
妙	宮	28	Mou2008.064.1
妙	傷	28	Mou2008.064.1
妙	愴	28	Mou2008.064.1
妙	忘	28	Mou2008.064.1
妙	誦	28	Mou2008.064.1
籍	回	28	Mou2008.064.1
籍	近	28	Mou2008.064.1
籍	舉	28	Mou2008.064.1
籍	嘉	28	Mou2008.064.1
籍	微	28	Mou2008.064.1
籍	萬	28	Mou2008.064.1
籍	君	28	Mou2008.064.1
籍	寧	28	Mou2008.064.1
籍	右	28	Mou2008.064.1
籍	恭	28	Mou2008.064.1
籍	鍾	28	Mou2008.064.1
籍	蹤	28	Mou2008.064.1
籍	從	28	Mou2008.064.1
籍	羊	28	Mou2008.064.1
籍	光	28	Mou2008.064.1
籍	廧	28	Mou2008.064.1
籍	通	28	Mou2008.064.1
籍	肱	28	Mou2008.064.1
籍	蒙	28	Mou2008.064.1
籍	功	28	Mou2008.064.1
籍	凶	28	Mou2008.064.1
籍	宮	28	Mou2008.064.1
籍	傷	28	Mou2008.064.1
籍	愴	28	Mou2008.064.1
籍	忘	28	Mou2008.064.1
籍	誦	28	Mou2008.064.1
回	近	28	Mou2008.064.1
回	舉	28	Mou2008.064.1
回	嘉	28	Mou2008.064.1
回	微	28	Mou2008.064.1
回	萬	28	Mou2008.064.1
回	君	28	Mou2008.064.1
回	寧	28	Mou2008.064.1
回	右	28	Mou2008.064.1
回	恭	28	Mou2008.064.1
回	鍾	28	Mou2008.064.1
回	蹤	28	Mou2008.064.1
回	從	28	Mou2008.064.1
回	羊	28	Mou2008.064.1
回	光	28	Mou2008.064.1
回	廧	28	Mou2008.064.1
回	通	28	Mou2008.064.1
回	肱	28	Mou2008.064.1
回	蒙	28	Mou2008.064.1
