Mou2008.015.1： 惟平山君，德配代嵩 承天【出】□，□佑秥蟬 興甘風雨，惠閏土田 □□壽考，五穀豐【成】 盜賊不起，□（主凡）□臧 出入吉利，咸受神光
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□，□□□a(et)結。
Mou2008.067.1.29： 無偏蕩蕩，貞雅以p(uɑŋ)方。
Mou2008.067.1.30： 寧靜烝庶，政與乾a(oŋ)通。
Mou2008.067.1.31： 輔主匡君，循禮有e(ɑŋ)常。
Mou2008.067.1.32： 咸曉地理，知世紀e(ɑŋ)綱。
Mou2008.067.1.33： 言必忠義，匪石厥e(ɑŋ)章。
Mou2008.067.1.34： 𢉸弘大節，讜而益q(iaŋ)明。
Mou2008.067.1.35： 揆往卓今，謀合朝r(ieŋ)情。
Mou2008.067.1.36： 艱即安，有勳有s(uaŋ)榮。
Mou2008.067.1.37： 禹鑿龍門，君其繼t(ioŋ)縱。
Mou2008.067.1.38： 上順斗極，下答坤p(uɑŋ)皇。
Mou2008.067.1.39： 自南自北，四海攸a(oŋ)通。
Mou2008.067.1.40： 君子安樂，庶土悅u(uoŋ)㢕。
Mou2008.067.1.41： 商人咸󸥰，農夫永a(oŋ)同。
Mou2008.067.1.42： 《春秋》記異，今而紀a(oŋ)功。
Mou2008.067.1.43： 垂流億載，世世嘆t(ioŋ)誦。
Mou2008.067.1.44： 序曰：明哉仁知，豫難v(e)易。
Mou2008.067.1.45： 原度天道，安危所w(ui)歸。
Mou2008.067.1.46： 勤勤竭誠，榮名休v(e)麗。
Mou2008.069.1.1： 巖巖繆君，禮性純淑，信心堅明，□□□a(iə)備。
Mou2008.069.1.2： 京氏《易經》□□□。
Mou2008.069.1.3： 恭儉禮讓，惠□□。
Mou2008.069.1.4： □□告□，念遠近敬b(ɨɑŋ)薌。
Mou2008.069.1.5： 少秉□里□□府召，退辟□□，執念閭c(ɔŋ)巷。
Mou2008.069.1.6： □相□□，□賢知d(ieŋ)命。
Mou2008.069.1.7： 復遇坐席，要舞黑e(ut)紼。
Mou2008.077.1.1： 忉戃悔歷□消a(eŋ)㓝。
Mou2008.077.1.2： 斯志顛仆，心懷弗a(eŋ)寧。
Mou2008.077.1.3： 發憤脩立，以顯光b(uaŋ)榮。
Mou2008.077.1.4： 惟乾動運，坤道靜a(eŋ)貞。
Mou2008.077.1.5： 夫人淑□，□坤之a(eŋ)靈。
Mou2008.077.1.6： 十六適配，教誨有a(eŋ)成。
Mou2008.077.1.7： □□□瑛，束脩舅姑，絜己不c(ieŋ)廎。
Mou2008.077.1.8： 年踰七十，如玉如□。
Mou2008.077.1.9： 陰陽喪度，三㓻離d(ou)道。
Mou2008.077.1.10： 明星隕墜，□□□e(əi)哀。
Mou2008.077.1.11： 寢疾固銷，大命催□魂靈f(ui)歸。
Mou2008.080.1.1： 其文曰：皇戲統華胥，承天畫a(uɛ)卦。
Mou2008.080.1.2： 顔育空桑，孔制元b(au)孝。
Mou2008.080.1.3： 俱祖紫宮，大一所c(u)授。
Mou2008.080.1.4： 前闓九頭，以󰶘言教；後制百王，獲麟来d(ɑ)吐。
Mou2008.080.1.5： 制不空作，承天之e(iɑ)語。
Mou2008.080.1.6： 乾元以來，三九之f(ə)載。
Mou2008.080.1.7： 八皇三代，至孔乃h(iə)備。
Mou2008.080.1.8： 聖人不世，期五百f(ə)載。
Mou2008.080.1.9： 三陽吐圖，二隂出i(iam)讖。
Mou2008.080.1.10： 制作之義，以俟知j(ou)奧。
Mou2008.080.1.11： 於穆韓君，獨見天h(iə)意。
Mou2008.080.1.12： 復聖二族，逴越絕h(iə)思。
Mou2008.080.1.13： 脩造禮樂，胡輦器k(oŋ)用。
Mou2008.080.1.14： 存古舊宇，慇懃宅l(iɑu)廟。
Mou2008.080.1.15： 朝車威熹，出誠造□。
Mou2008.080.1.16： 漆不水解，工不爭d(ɑ)賈。
Mou2008.080.1.17： 深除玄汙，水通四m(o)注。
Mou2008.080.1.18： 禮器升堂，天雨降m(o)澍。
Mou2008.080.1.19： 百姓訢和，舉國蒙n(iaŋ)慶。
Mou2008.080.1.20： 神靈祐誠，竭敬之j(ou)報。
Mou2008.080.1.21： 天與厥福，永享牟c(u)壽。
Mou2008.080.1.22： 上極華紫，旁伎皇f(ə)代。
Mou2008.080.1.23： 刊石表銘，與乾運b(au)燿。
Mou2008.080.1.24： 長期蕩蕩，於盛復c(u)授。
Mou2008.080.1.25： 赫赫罔窮，聲垂億f(ə)載。
Mou2008.082.1.1： 其辭曰：於惟郎中，寔天生a(ək)德。
Mou2008.082.1.2： 頙親誨弟，虔恭竭b(ik)力。
Mou2008.082.1.3： 教我義方，導我礼a(ək)則。
Mou2008.082.1.4： 傳宣孔業，作世模b(ik)式。
Mou2008.082.1.5： 從政事上，忠以自c(uok)勖。
Mou2008.082.1.6： 貢計王庭，華夏歸d(uk)服。
Mou2008.082.1.7： 帝用嘉之，顯拜殊a(ək)特。
Mou2008.082.1.8： 將從雅意，色斯自a(ək)得。
Mou2008.082.1.9： 乃遭氛災，隕命顛e(ɑ)沛。
Mou2008.082.1.10： 家失所怙，國亡忠b(ik)直。
Mou2008.082.1.11： 俯哭誰𧦡，卬唬焉f(ou)告。
Mou2008.082.1.12： 嗟嗟孟子，苗而弗d(uk)毓。
Mou2008.082.1.13： 奉我元兄，󶠴孝罔b(ik)極。
Mou2008.082.1.14： 魂而有靈，亦歆斯a(ək)勒。
Mou2008.086.1.1： 其辭曰：□永挺□□□□，□聖□兮勳典a(ək)則。
Mou2008.086.1.2： □□□兮刺過直，以謇愕兮□右b(ɨk)軄。
Mou2008.086.1.3： 抱□□兮十□□，身雖歿兮談不□。
Mou2008.086.1.4： 垂功烈兮光万b(ɨk)億。
Mou2008.087.1.1： 乃作頌曰：穆穆聖蒼，（下闕）表名，永久彌a(ɑŋ)光。
Mou2008.087.1.2： 無德不報，□□百a(ɑŋ)行。
Mou2008.087.1.3： 順禮（下闕）聲，休嘉孔b(uŋ)融。
Mou2008.088.1.1： 其辭曰：泫泫淮源，聖禹所導；湯湯其逝，惟海是a(ou)造。
Mou2008.088.1.2： 疏穢濟遠，柔順其a(ou)道。
Mou2008.088.1.3： 弱而能强，仁而能b(uɑ)武。
Mou2008.088.1.4： □□晝夜，明哲所c(io)取。
Mou2008.088.1.5： 寔爲四瀆，與河合d(iɑ)矩。
Mou2008.088.1.6： 烈烈明府，好古之e(ək)則。
Mou2008.088.1.7： 虔恭禮祀，不愆其e(ək)德。
Mou2008.088.1.8： 惟前廢弛，匪躬匪f(ik)力。
Mou2008.088.1.9： 災眚以興，陰陽以e(ək)忒。
Mou2008.088.1.10： 陟彼高岡，臻茲廟f(ik)側。
Mou2008.088.1.11： 肅肅其敬，靈祇降h(uk)福。
Mou2008.088.1.12： 雍雍其和，民用悅h(uk)服。
Mou2008.088.1.13： 穰穰其慶，年穀豐f(ik)殖。
Mou2008.088.1.14： 望君輿駕，扶老攜f(ik)息。
Mou2008.088.1.15： 慕君塵軌，𠬼走忘f(ik)食。
Mou2008.088.1.16： 懷君恵賜，思君罔f(ik)極。
Mou2008.088.1.17： 于胥樂兮，傳于萬i(ɨk)億。
Mou2008.089.1.1： 其辭曰：父通，本治白孟《易》丁君章句，師事上黨鮑公，故郡掾史、功曹主a(i)簿。
Mou2008.089.1.2： 載□□三，卦位蹇b(ui)微。
Mou2008.089.1.3： 遂不□起，掩然至c(ie)斯。
Mou2008.089.1.4： 孤子推胸，痛當奈d(ɑi)何。
Mou2008.089.1.5： 婦孫□□，靡不感e(ɨ)悲。
Mou2008.089.1.6： 臨兄弟四：兄長真，年加伯仲，立子三f(in)人。
Mou2008.089.1.7： 委遰子□，弟均□過，蚤離春秋，永歸長h(a)夜。
Mou2008.089.1.8： 昭代不立，言之切痛傷人i(im)心。
Mou2008.089.1.9： 所謂苗能不秀，秀能不j(it)實。
Mou2008.089.1.10： 昔武王遭疾，賴有周公，為王殘命，復得延年，□有窮□，□□若k(ɑŋ)喪。
Mou2008.089.1.11： 由斯言之，命有𢭃k(ɑŋ)長。
Mou2008.089.1.12： 追念父恩，不可稱f(in)陳。
Mou2008.089.1.13： 將作丘封，因序祖l(en)先。
Mou2008.089.1.14： 適□礿祠，蒸嘗魂m(eŋ)靈。
Mou2008.089.1.15： 富貴無恙，傳于子孫，□之無n(iaŋ)竟。
Mou2008.089.1.16： 亂曰：陰陽變化，四時o(un)分兮。
Mou2008.089.1.17： 人命短長，伹不p(ən!)存兮。
Mou2008.089.1.18： 改華易實，震垢f(in)塵兮。
Mou2008.089.1.19： 緯象泰清，集神q(ən)門兮。
Mou2008.089.1.20： 日月照幽，時晝r(uən)昏兮。
Mou2008.089.1.21： 精感惟世，擬獲f(in)驎兮。
Mou2008.089.1.22： 悲傷永絕，失壽l(en)年兮。
Mou2008.089.1.23： 升車下征，赴黃s(ian)泉兮。
Mou2008.089.1.24： 嗚呼哀哉，義割q(ən)恩兮。
Mou2008.090.1.1： 其辭曰：天作高山，寔惟封a(ɔŋ)龍。
Mou2008.090.1.2： 平地特起，靈亮上b(oŋ)通。
Mou2008.090.1.3： 嵯峨𡷽峻，高麗無a(ɔŋ)雙。
Mou2008.090.1.4： 神燿赫赫，理物含c(ɑŋ)光。
Mou2008.090.1.5： 賛天休命，德合无d(iɑŋ)疆。
Mou2008.090.1.6： 惠此邦域，以綏四e(uɑŋ)方。
Mou2008.090.1.7： 國富年豐，穡民用c(ɑŋ)章。
Mou2008.090.1.8： 刻石紀銘，令德不e(uɑŋ)忘。
Mou2008.091.1.1： 其辭曰：於顯我君，懿德惟a(ɑŋ)光。
Mou2008.091.1.2： 紹聖作儒，身立名a(ɑŋ)彰。
Mou2008.091.1.3： 貢登王室，閽閣b(e)是。
Mou2008.091.1.4： 夙夜□□，在公明c(iaŋ)明。
Mou2008.091.1.5： 乃綏二縣，𥡓儀以a(ɑŋ)康。
Mou2008.091.1.6： 於丌時廱，撫茲岱d(uɑŋ)方。
Mou2008.091.1.7： 帥彼凶人，覆俾□□。
Mou2008.091.1.8： 南畝孔饁，山有夷a(ɑŋ)行。
Mou2008.091.1.9： 豐年多黍，稱彼兕e(uaŋ)觥。
Mou2008.091.1.10： 帝賴其勳，民斯是d(uɑŋ)皇。
Mou2008.091.1.11： 疾□□□，乃委其e(uaŋ)榮。
Mou2008.091.1.12： 忠告慇勤，屢省乃f(eŋ)聽。
Mou2008.091.1.13： 恭儉自終，盙簋不h(in)敶。
Mou2008.091.1.14： 生播高譽，歿垂令i(ieŋ)名。
Mou2008.091.1.15： 永矢不刊，億載揚f(eŋ)聲。
Mou2008.092.1.1： 其辭曰：巖巖西嶽，峻極穹a(ɑŋ)蒼。
Mou2008.092.1.2： 奄有河朔，遂荒崋a(ɑŋ)陽。
Mou2008.092.1.3： 觸石興雲，雨我農a(ɑŋ)桑。
Mou2008.092.1.4： 資糧品物，亦相瑤a(ɑŋ)光。
Mou2008.092.1.5： 崇冠二州，古曰雍b(iɑŋ)梁。
Mou2008.092.1.6： 馮于豳岐，文武克a(ɑŋ)昌。
Mou2008.092.1.7： 天子展義，巡狩省c(uɑŋ)方。
Mou2008.092.1.8： 玉帛之贄，禮與岱a(ɑŋ)亢。
Mou2008.092.1.9： 《六樂》之變，舞以致a(ɑŋ)康。
Mou2008.092.1.10： 在漢中葉，建設宇a(ɑŋ)堂。
Mou2008.092.1.11： 山嶽之守，是秩是c(uɑŋ)望。
Mou2008.092.1.12： 侯惟安國，兼命斯a(ɑŋ)章。
Mou2008.092.1.13： 尊脩靈基，肅共壇a(ɑŋ)場。
Mou2008.092.1.14： 明德惟馨，神歆其c(uɑŋ)芳。
Mou2008.092.1.15： 遏禳凶札，揫斂吉b(iɑŋ)祥。
Mou2008.092.1.16： 嵗其有年，民說無b(iɑŋ)疆。
Mou2008.094.1.1： 其頌曰：於鑠我祖，膺是懿a(ək)德。
Mou2008.094.1.2： 永惟孝思，亦世弘b(iɑp)業。
Mou2008.094.1.3： 昭哉孝嗣，光流萬c(uək)國。
Mou2008.094.1.4： 秩秩其威，娥娥厥d(ioŋ)𩔜。
Mou2008.094.1.5： 此宜蹈鼎，善世令e(uɑŋ)王。
Mou2008.094.1.6： 如何夙隕，丁此咎f(uoŋ)𣧑。
Mou2008.094.1.7： 國無人兮王庭空，𣎶罔宗兮微言h(ɑŋ)喪。
Mou2008.094.1.8： 王機悵兮嘉謀荒，旌洪德兮表元i(oŋ)功。
Mou2008.094.1.9： 闡君靈兮示後萌，神有識兮營壇h(ɑŋ)場。
Mou2008.096.1.1： 其辭曰：清和穆鑠，寔惟乾a(uən)坤。
Mou2008.096.1.2： 惟嶽降靈，篤生我b(un)君。
Mou2008.096.1.3： 服體叡聖，允鍾厥b(un)醇。
Mou2008.096.1.4： 誕生岐嶷，言協□b(un)墳。
Mou2008.096.1.5： 懿德震燿，孝行通c(ioŋ)神。
Mou2008.096.1.6： 動履規繩，文彰d(in)繽。
Mou2008.096.1.7： 成是正服，以道德d(in)民。
Mou2008.096.1.8： 有父子然後有君d(in)臣。
Mou2008.096.1.9： 理財正辭，束帛戔e(an)戔。
Mou2008.096.1.10： □夢刻像，隺鳴一d(in)震。
Mou2008.096.1.11： 天臨保漢，寔生□d(in)仁。
Mou2008.096.1.12： 明試賦授，夷夏已d(in)親。
Mou2008.096.1.13： 嘉錫来撫，潜化如c(ioŋ)神。
Mou2008.096.1.14： 其神伊何？靈不傷d(in)人。
Mou2008.096.1.15： 猗歟明哲，秉道之f(o)樞。
Mou2008.096.1.16： 養□之福，惟德之f(o)偶。
Mou2008.096.1.17： 淵乎其長，渙乎成h(oŋ)功。
Mou2008.096.1.18： □暇民豫，新我□h(oŋ)通。
Mou2008.096.1.19： 用行則達，以誘我i(ɔŋ)邦。
Mou2008.096.1.20： 賴茲劉父，用說其h(oŋ)蒙。
Mou2008.096.1.21： 澤零年豐，黔首歌c(ioŋ)頌。
Mou2008.097.1.1： 其辭曰：明明楊君，懿鑠其a(ək)德。
Mou2008.097.1.2： 其德伊何？忠b(ik)力。
Mou2008.097.1.3： 勤止厥身，帥□靡c(ɛk)革。
Mou2008.097.1.4： 謩兹𥮏猶，道以經d(uək)國。
Mou2008.097.1.5： 班化黎元，既清且e(eŋ)寧。
Mou2008.097.1.6： 武稜攜，文懷徦e(eŋ)冥。
Mou2008.097.1.7： 遠人斯服，份士充e(eŋ)庭。
Mou2008.097.1.8： 剛柔攸得，以和以f(ieŋ)平。
Mou2008.097.1.9： 勳速藐矣，莫與爭h(ɑŋ)光。
Mou2008.097.1.10： 甘棠遺愛，東征企h(ɑŋ)皇。
Mou2008.097.1.11： 念彼恭人，惄焉永h(ɑŋ)傷。
Mou2008.097.1.12： 立言不㱙，先民所h(ɑŋ)臧。
Mou2008.097.1.13： 載名金石，詒亐无i(iɑŋ)疆。
Mou2008.099.1.1： 其辭曰：亮元德，於我a(un)君。
Mou2008.099.1.2： 膺清茂，體懿b(uən)純。
Mou2008.099.1.3： 超三署，垂令□。
Mou2008.099.1.4： 甄聲號，□憲c(ə)臺。
Mou2008.099.1.5： 矯王業，弼紫d(ui)微。
Mou2008.099.1.6： 彈羣司，清公□。
Mou2008.099.1.7： 緩薄賦，牧邦e(ii)畿。
Mou2008.099.1.8： 棃烝殷，罔荒e(ii)饑。
Mou2008.099.1.9： 感良臣，哀其f(eŋ)靈。
Mou2008.099.1.10： 朅輕舉，□来f(eŋ)征。
Mou2008.099.1.11： 民歎思，暨輿h(in)人。
Mou2008.099.1.12： 宰府命，遂□。
Mou2008.099.1.13： 名振射，□彌闡，垂令紀，永不i(ɑn)刊。
Mou2008.099.1.14： 亐胥德，㳅後b(uən)昆。
Mou2008.100.1.1： 其辭曰：峨峨我君，烈孔a(uən)純。
Mou2008.100.1.2： 高朗神武，歷世忠b(au)孝。
Mou2008.100.1.3： 馮隆鴻軌，不忝前c(in)人。
Mou2008.100.1.4： 寬猛不主，德義是d(eŋ)經。
Mou2008.100.1.5： 韜綜頙□，溫故前e(ieŋ)呈。
Mou2008.100.1.6： 㩜英接秀，踵迹晏e(ieŋ)平。
Mou2008.100.1.7： 初據百里，顯顯令聞，濟康下c(in)民。
Mou2008.100.1.8： 曜武南會，邊民是c(in)鎮。
Mou2008.100.1.9： 惟□□□，憂及退c(in)身。
Mou2008.100.1.10： 叅議帝室，剖苻守f(uɑn)藩。
Mou2008.100.1.11： 北靖□□，有□有d(eŋ)聲。
Mou2008.100.1.12： 旋守中嶽，幽滯以h(uaŋ)榮。
Mou2008.100.1.13： 邁種舊京，忄□□□。
Mou2008.100.1.14： 含澤戴仁，□□攸d(eŋ)寧。
Mou2008.100.1.15： 剋長剋君，不虞不i(ɑŋ)陽。
Mou2008.100.1.16： 維明維允，燿此聲j(iɑŋ)香。
