Mou2008.015.1： 惟平山君，德配代嵩 承天【出】□，□佑秥蟬 興甘風雨，惠閏土田 □□壽考，五穀豐【成】 盜賊不起，□（主凡）□臧 出入吉利，咸受神光
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□，□□□j結。
Mou2008.060.1.15： 部城十九，麥阝麥阝歸a向。
Mou2008.060.1.16： 分明好惡，先以敬g讓。
Mou2008.060.1.17： 殘偽易心，輕黠逾a竟。
Mou2008.060.1.18： 諜梟鳴，分子還g養。
Mou2008.060.1.19： 元元鰥寡，蒙佑以a寧。
Mou2008.060.1.20： 蓄道修德，□祉以e榮。
Mou2008.060.1.21： 紛紛令儀，明府p體之。
Mou2008.060.1.22： 仁義道術，明府g膺之。
Mou2008.060.1.23： 黃朱邵父，明府a三之。
Mou2008.060.1.24： 台輔之任，明府a宜之。
Mou2008.060.1.25： 以病被征，委位致g仕。
Mou2008.060.1.26： 民志思慕，遠近搔a首。
Mou2008.060.1.27： 農夫釋耒，商人空市，隨輦飲g淚。
Mou2008.060.1.28： 奈何朝廷，奪我茲父，官未a旬。
Mou2008.060.1.29： 病乃困危，茲璧之質，臨卒不回，□欷□絕，奄忽不追，孝子忄彭忄鼻，顛倒剝z摧。
Mou2008.060.1.30： 遂不克寤，永潛長c歸。
Mou2008.060.1.31： 州裡鄉黨，隕涕奔哀，故吏忉怛，欷低c徊。
Mou2008.060.1.32： 四海冠蓋，驚忄重傷g裡。
Mou2008.060.1.33： 大命所期，實惟夫y授。
Mou2008.060.1.34： 明王設位，明府不就，臣子欲g養。
Mou2008.060.1.35： 明府弗留，嗚呼哀a哉。
Mou2008.060.1.36： 亂曰：考積幽穸，表至□兮。
Mou2008.060.1.37： □□□□，翔議u郎兮。
Mou2008.060.1.38： 再命虎將，綏元a元兮。
Mou2008.060.1.39： 規策榘謨，主忠a信兮。
Mou2008.060.1.40： 羽衛藩屏，撫萬g民兮。
Mou2008.060.1.41： □□□□，恩彌a盛兮。
Mou2008.060.1.42： 宜參鼎𨋥，堅榦g楨兮。
Mou2008.060.1.43： 不永麋壽，□臣a子兮。
Mou2008.060.1.44： 仁敦海岱，著《甘g棠》兮。
Mou2008.060.1.45： 刊石勒銘，□不g亡兮。
Mou2008.060.1.46： 碑陰右下列：豎建聿碑，惟故臣a吏。
Mou2008.060.1.47： 慎終追遠，諒闇沈d思。
Mou2008.060.1.48： 守衛墳園，仁綱禮a備。
Mou2008.060.1.49： 陵成宇立，樹列既g就。
Mou2008.060.1.50： 聖典有制，三載已a究。
Mou2008.060.1.51： 當離墓側，永懷靡既，文不可勝，以義割a志。
Mou2008.060.1.52： 乃著遺辭，以明厥a意。
Mou2008.060.1.53： 魂靈瑕顯，降垂嘉g祐。
Mou2008.064.1.1： 君幼□顔閔之楙質，長敷斿夏之文學，慈惠寬□，孝友玄ψw妙。
Mou2008.064.1.2： 苞羅術蓺，貫洞聖□，博兼□□，耽綜典ψx籍。
Mou2008.064.1.3： □思□純，求福不βf回。
Mou2008.064.1.4： 清聲美行，闡形遠q近。
Mou2008.064.1.5： 州郡貪其高賢幼少，請以□□歲a舉。
Mou2008.064.1.6： □翼紫宮，□□詔除，光顯王室，有□於國，帝庸n嘉之。
Mou2008.064.1.7： 掌司古□，領校秘𨞓，研□幽c微。
Mou2008.064.1.8： 追昔劉向，辯、賈之徒，比□a萬矣。
Mou2008.064.1.9： 時戎□□，匡正一□。
Mou2008.064.1.10： □朝廷惟憂□□，有司□□舉b君。
Mou2008.064.1.11： 斑到官之日，□癘吏士，哮虎之怒，薄伐□□。
Mou2008.064.1.12： □□□□，□□□並，百姓賴之，邦域既a寧。
Mou2008.064.1.13： 久勞于外，當還本朝，以敘左a右。
Mou2008.064.1.14： 其辭曰：於惟武君，允德允δ恭。
Mou2008.064.1.15： 受天休命，積祉所k鍾。
Mou2008.064.1.16： 其在孩提，岐嶷發a蹤。
Mou2008.064.1.17： 謙□守約，唯誼是a從。
Mou2008.064.1.18： 孝深《凱風》，志絜《羔a羊》。
Mou2008.064.1.19： 樂是□□，恬此榮a光。
Mou2008.064.1.20： 孳孳臨川，闚見□ψy廧。
Mou2008.064.1.21： 𤹯仰萁首，微妙玄k通。
Mou2008.064.1.22： □然清邈，□□□□，□□【升□，爲帝股ψz肱。
Mou2008.064.1.23： 扶助大和，萬民迺k蒙。
Mou2008.064.1.24： 顯宗□□，史官書k功。
Mou2008.064.1.25： 昊天上帝，𨹓茲鞠a凶。
Mou2008.064.1.26： 晻忽徂逝，□□□θ宮。
Mou2008.064.1.27： 不享耆耇，大命□□。
Mou2008.064.1.28： 百𨖒惟□，后帝感a傷。
Mou2008.064.1.29： 學夫喪師，士女悽ωa愴。
Mou2008.064.1.30： 旌表金石，令問不a忘。
Mou2008.064.1.31： 垂□後昆，億載歎k誦。
Mou2008.067.1.1： 惟□靈定位，川澤股躬，澤有所注，川有所k通。
Mou2008.067.1.2： 余谷之川，其澤南k隆。
Mou2008.067.1.3： 八方所達，益域爲k充。
Mou2008.067.1.4： 高祖受命，興於漢a中。
Mou2008.067.1.5： 道由子午，出散入a秦。
Mou2008.067.1.6： 建定帝位，以漢𧦄󸌇。
Mou2008.067.1.7： 後以子午，𡒎路歮t難。
Mou2008.067.1.8： 更隨圍谷，復通堂a光。
Mou2008.067.1.9： 凡此四道，垓鬲尤k艱。
Mou2008.067.1.10： 至於永平，其有四a年。
Mou2008.067.1.11： 詔書開余，鑿通石a門。
Mou2008.067.1.12： 中遭元二，西夷虐k殘。
Mou2008.067.1.13： 橋梁斷絕，子午a復。
Mou2008.067.1.14： 上則縣峻，屈曲㳅顛；下則人窴，廎寫輸r淵。
Mou2008.067.1.15： 平阿泥，常蔭鮮k晏。
Mou2008.067.1.16： 木石相距，利磨k确。
Mou2008.067.1.17： 臨危槍碭，履尾心w寒。
Mou2008.067.1.18： 空輿輕騎，𨗼𥃷弗a前。
Mou2008.067.1.19： 𢛫虫𢅷狩，虵蛭毒□。
Mou2008.067.1.20： 未秋截霜，稼苗k殘。
Mou2008.067.1.21： 終年不登，匱餧之a患。
Mou2008.067.1.22： 卑者楚惡，尊者弗a安。
Mou2008.067.1.23： 愁苦之難，焉可具a言！。
Mou2008.067.1.24： ……。
Mou2008.067.1.25： 其辭曰：君德明明，𤋲煥彌a光。
Mou2008.067.1.26： 刺過拾遺，厲清八n荒。
Mou2008.067.1.27： 奉魁承杓，綏億衙k強。
Mou2008.067.1.28： 春宣聖恩，秋貶若a霜。
Mou2008.067.1.29： 無偏蕩蕩，貞雅以a方。
Mou2008.067.1.30： 寧靜烝庶，政與乾k通。
Mou2008.067.1.31： 輔主匡君，循禮有a常。
Mou2008.067.1.32： 咸曉地理，知世紀a綱。
Mou2008.067.1.33： 言必忠義，匪石厥a章。
Mou2008.067.1.34： 𢉸弘大節，讜而益a明。
Mou2008.067.1.35： 揆往卓今，謀合朝e情。
Mou2008.067.1.36： 艱即安，有勳有e榮。
Mou2008.067.1.37： 禹鑿龍門，君其繼k縱。
Mou2008.067.1.38： 上順斗極，下答坤a皇。
Mou2008.067.1.39： 自南自北，四海攸k通。
Mou2008.067.1.40： 君子安樂，庶土悅k㢕。
Mou2008.067.1.41： 商人咸󸥰，農夫永a同。
Mou2008.067.1.42： 《春秋》記異，今而紀k功。
Mou2008.067.1.43： 垂流億載，世世嘆k誦。
Mou2008.067.1.44： 序曰：明哉仁知，豫難a易。
Mou2008.067.1.45： 原度天道，安危所c歸。
Mou2008.067.1.46： 勤勤竭誠，榮名休k麗。
Mou2008.069.1.1： 巖巖繆君，禮性純淑，信心堅明，□□□a備。
Mou2008.069.1.2： 京氏《易經》□□□。
Mou2008.069.1.3： 恭儉禮讓，惠□□。
Mou2008.069.1.4： □□告□，念遠近敬ωb薌。
Mou2008.069.1.5： 少秉□里□□府召，退辟□□，執念閭ωc巷。
Mou2008.069.1.6： □相□□，□賢知a命。
Mou2008.069.1.7： 復遇坐席，要舞黑ωd紼。
Mou2008.077.1.1： 忉戃悔歷□消ωe㓝。
Mou2008.077.1.2： 斯志顛仆，心懷弗a寧。
Mou2008.077.1.3： 發憤脩立，以顯光e榮。
Mou2008.077.1.4： 惟乾動運，坤道靜e貞。
Mou2008.077.1.5： 夫人淑□，□坤之e靈。
Mou2008.077.1.6： 十六適配，教誨有e成。
Mou2008.077.1.7： □□□瑛，束脩舅姑，絜己不e廎。
Mou2008.077.1.8： 年踰七十，如玉如□。
Mou2008.077.1.9： 陰陽喪度，三㓻離a道。
Mou2008.077.1.10： 明星隕墜，□□□z哀。
Mou2008.077.1.11： 寢疾固銷，大命催□魂靈c歸。
Mou2008.080.1.1： 其文曰：皇戲統華胥，承天畫y卦。
Mou2008.080.1.2： 顔育空桑，孔制元a孝。
Mou2008.080.1.3： 俱祖紫宮，大一所y授。
Mou2008.080.1.4： 前闓九頭，以󰶘言教；後制百王，獲麟来y吐。
Mou2008.080.1.5： 制不空作，承天之h語。
Mou2008.080.1.6： 乾元以來，三九之y載。
Mou2008.080.1.7： 八皇三代，至孔乃a備。
Mou2008.080.1.8： 聖人不世，期五百y載。
Mou2008.080.1.9： 三陽吐圖，二隂出y讖。
Mou2008.080.1.10： 制作之義，以俟知y奧。
Mou2008.080.1.11： 於穆韓君，獨見天a意。
Mou2008.080.1.12： 復聖二族，逴越絕d思。
Mou2008.080.1.13： 脩造禮樂，胡輦器a用。
Mou2008.080.1.14： 存古舊宇，慇懃宅y廟。
Mou2008.080.1.15： 朝車威熹，出誠造□。
Mou2008.080.1.16： 漆不水解，工不爭y賈。
Mou2008.080.1.17： 深除玄汙，水通四y注。
Mou2008.080.1.18： 禮器升堂，天雨降y澍。
Mou2008.080.1.19： 百姓訢和，舉國蒙y慶。
Mou2008.080.1.20： 神靈祐誠，竭敬之y報。
Mou2008.080.1.21： 天與厥福，永享牟a壽。
Mou2008.080.1.22： 上極華紫，旁伎皇y代。
Mou2008.080.1.23： 刊石表銘，與乾運y燿。
Mou2008.080.1.24： 長期蕩蕩，於盛復y授。
Mou2008.080.1.25： 赫赫罔窮，聲垂億y載。
Mou2008.082.1.1： 其辭曰：於惟郎中，寔天生f德。
Mou2008.082.1.2： 頙親誨弟，虔恭竭a力。
Mou2008.082.1.3： 教我義方，導我礼f則。
Mou2008.082.1.4： 傳宣孔業，作世模f式。
Mou2008.082.1.5： 從政事上，忠以自f勖。
Mou2008.082.1.6： 貢計王庭，華夏歸a服。
Mou2008.082.1.7： 帝用嘉之，顯拜殊ωf特。
Mou2008.082.1.8： 將從雅意，色斯自a得。
Mou2008.082.1.9： 乃遭氛災，隕命顛μ沛。
Mou2008.082.1.10： 家失所怙，國亡忠f直。
Mou2008.082.1.11： 俯哭誰𧦡，卬唬焉a告。
Mou2008.082.1.12： 嗟嗟孟子，苗而弗ωg毓。
Mou2008.082.1.13： 奉我元兄，󶠴孝罔a極。
Mou2008.082.1.14： 魂而有靈，亦歆斯ωh勒。
Mou2008.086.1.1： 其辭曰：□永挺□□□□，□聖□兮勳典f則。
Mou2008.086.1.2： □□□兮刺過直，以謇愕兮□右ωi軄。
Mou2008.086.1.3： 抱□□兮十□□，身雖歿兮談不□。
Mou2008.086.1.4： 垂功烈兮光万f億。
Mou2008.087.1.1： 乃作頌曰：穆穆聖蒼，（下闕）表名，永久彌a光。
Mou2008.087.1.2： 無德不報，□□百a行。
Mou2008.087.1.3： 順禮（下闕）聲，休嘉孔ωj融。
Mou2008.088.1.1： 其辭曰：泫泫淮源，聖禹所導；湯湯其逝，惟海是a造。
Mou2008.088.1.2： 疏穢濟遠，柔順其a道。
Mou2008.088.1.3： 弱而能强，仁而能a武。
Mou2008.088.1.4： □□晝夜，明哲所a取。
Mou2008.088.1.5： 寔爲四瀆，與河合ωk矩。
Mou2008.088.1.6： 烈烈明府，好古之f則。
Mou2008.088.1.7： 虔恭禮祀，不愆其f德。
Mou2008.088.1.8： 惟前廢弛，匪躬匪a力。
Mou2008.088.1.9： 災眚以興，陰陽以a忒。
Mou2008.088.1.10： 陟彼高岡，臻茲廟a側。
Mou2008.088.1.11： 肅肅其敬，靈祇降f福。
Mou2008.088.1.12： 雍雍其和，民用悅a服。
Mou2008.088.1.13： 穰穰其慶，年穀豐f殖。
Mou2008.088.1.14： 望君輿駕，扶老攜a息。
Mou2008.088.1.15： 慕君塵軌，𠬼走忘a食。
Mou2008.088.1.16： 懷君恵賜，思君罔a極。
Mou2008.088.1.17： 于胥樂兮，傳于萬f億。
Mou2008.089.1.1： 其辭曰：父通，本治白孟《易》丁君章句，師事上黨鮑公，故郡掾史、功曹主p簿。
Mou2008.089.1.2： 載□□三，卦位蹇c微。
Mou2008.089.1.3： 遂不□起，掩然至θt斯。
Mou2008.089.1.4： 孤子推胸，痛當奈n何。
Mou2008.089.1.5： 婦孫□□，靡不感c悲。
Mou2008.089.1.6： 臨兄弟四：兄長真，年加伯仲，立子三a人。
Mou2008.089.1.7： 委遰子□，弟均□過，蚤離春秋，永歸長q夜。
Mou2008.089.1.8： 昭代不立，言之切痛傷人a心。
Mou2008.089.1.9： 所謂苗能不秀，秀能不a實。
Mou2008.089.1.10： 昔武王遭疾，賴有周公，為王殘命，復得延年，□有窮□，□□若p喪。
Mou2008.089.1.11： 由斯言之，命有𢭃a長。
Mou2008.089.1.12： 追念父恩，不可稱a陳。
Mou2008.089.1.13： 將作丘封，因序祖a先。
Mou2008.089.1.14： 適□礿祠，蒸嘗魂e靈。
Mou2008.089.1.15： 富貴無恙，傳于子孫，□之無a竟。
Mou2008.089.1.16： 亂曰：陰陽變化，四時o分兮。
Mou2008.089.1.17： 人命短長，伹不a存兮。
Mou2008.089.1.18： 改華易實，震垢a塵兮。
Mou2008.089.1.19： 緯象泰清，集神a門兮。
Mou2008.089.1.20： 日月照幽，時晝o昏兮。
Mou2008.089.1.21： 精感惟世，擬獲ωl驎兮。
Mou2008.089.1.22： 悲傷永絕，失壽a年兮。
Mou2008.089.1.23： 升車下征，赴黃a泉兮。
Mou2008.089.1.24： 嗚呼哀哉，義割a恩兮。
Mou2008.090.1.1： 其辭曰：天作高山，寔惟封a龍。
Mou2008.090.1.2： 平地特起，靈亮上k通。
Mou2008.090.1.3： 嵯峨𡷽峻，高麗無a雙。
Mou2008.090.1.4： 神燿赫赫，理物含a光。
Mou2008.090.1.5： 賛天休命，德合无a疆。
Mou2008.090.1.6： 惠此邦域，以綏四a方。
Mou2008.090.1.7： 國富年豐，穡民用a章。
Mou2008.090.1.8： 刻石紀銘，令德不a忘。
Mou2008.091.1.1： 其辭曰：於顯我君，懿德惟a光。
Mou2008.091.1.2： 紹聖作儒，身立名a彰。
Mou2008.091.1.3： 貢登王室，閽閣θl是。
Mou2008.091.1.4： 夙夜□□，在公明a明。
Mou2008.091.1.5： 乃綏二縣，𥡓儀以a康。
Mou2008.091.1.6： 於丌時廱，撫茲岱a方。
Mou2008.091.1.7： 帥彼凶人，覆俾□□。
Mou2008.091.1.8： 南畝孔饁，山有夷a行。
Mou2008.091.1.9： 豐年多黍，稱彼兕ωm觥。
Mou2008.091.1.10： 帝賴其勳，民斯是a皇。
Mou2008.091.1.11： 疾□□□，乃委其e榮。
Mou2008.091.1.12： 忠告慇勤，屢省乃e聽。
Mou2008.091.1.13： 恭儉自終，盙簋不ωn敶。
Mou2008.091.1.14： 生播高譽，歿垂令a名。
Mou2008.091.1.15： 永矢不刊，億載揚e聲。
Mou2008.092.1.1： 其辭曰：巖巖西嶽，峻極穹a蒼。
Mou2008.092.1.2： 奄有河朔，遂荒崋a陽。
Mou2008.092.1.3： 觸石興雲，雨我農a桑。
Mou2008.092.1.4： 資糧品物，亦相瑤a光。
Mou2008.092.1.5： 崇冠二州，古曰雍a梁。
Mou2008.092.1.6： 馮于豳岐，文武克a昌。
Mou2008.092.1.7： 天子展義，巡狩省a方。
Mou2008.092.1.8： 玉帛之贄，禮與岱ωo亢。
Mou2008.092.1.9： 《六樂》之變，舞以致a康。
Mou2008.092.1.10： 在漢中葉，建設宇a堂。
Mou2008.092.1.11： 山嶽之守，是秩是a望。
Mou2008.092.1.12： 侯惟安國，兼命斯a章。
Mou2008.092.1.13： 尊脩靈基，肅共壇a場。
Mou2008.092.1.14： 明德惟馨，神歆其a芳。
Mou2008.092.1.15： 遏禳凶札，揫斂吉a祥。
Mou2008.092.1.16： 嵗其有年，民說無a疆。
Mou2008.094.1.1： 其頌曰：於鑠我祖，膺是懿f德。
Mou2008.094.1.2： 永惟孝思，亦世弘ωp業。
Mou2008.094.1.3： 昭哉孝嗣，光流萬f國。
Mou2008.094.1.4： 秩秩其威，娥娥厥ωq𩔜。
Mou2008.094.1.5： 此宜蹈鼎，善世令a王。
Mou2008.094.1.6： 如何夙隕，丁此咎ωr𣧑。
Mou2008.094.1.7： 國無人兮王庭空，𣎶罔宗兮微言p喪。
Mou2008.094.1.8： 王機悵兮嘉謀荒，旌洪德兮表元k功。
Mou2008.094.1.9： 闡君靈兮示後萌，神有識兮營壇a場。
Mou2008.096.1.1： 其辭曰：清和穆鑠，寔惟乾g坤。
Mou2008.096.1.2： 惟嶽降靈，篤生我b君。
Mou2008.096.1.3： 服體叡聖，允鍾厥g醇。
Mou2008.096.1.4： 誕生岐嶷，言協□g墳。
Mou2008.096.1.5： 懿德震燿，孝行通g神。
Mou2008.096.1.6： 動履規繩，文彰g繽。
Mou2008.096.1.7： 成是正服，以道德g民。
Mou2008.096.1.8： 有父子然後有君q臣。
Mou2008.096.1.9： 理財正辭，束帛戔g戔。
Mou2008.096.1.10： □夢刻像，隺鳴一g震。
Mou2008.096.1.11： 天臨保漢，寔生□a仁。
Mou2008.096.1.12： 明試賦授，夷夏已a親。
Mou2008.096.1.13： 嘉錫来撫，潜化如g神。
Mou2008.096.1.14： 其神伊何？靈不傷a人。
Mou2008.096.1.15： 猗歟明哲，秉道之k樞。
Mou2008.096.1.16： 養□之福，惟德之g偶。
Mou2008.096.1.17： 淵乎其長，渙乎成k功。
Mou2008.096.1.18： □暇民豫，新我□k通。
Mou2008.096.1.19： 用行則達，以誘我k邦。
Mou2008.096.1.20： 賴茲劉父，用說其k蒙。
Mou2008.096.1.21： 澤零年豐，黔首歌k頌。
Mou2008.097.1.1： 其辭曰：明明楊君，懿鑠其f德。
Mou2008.097.1.2： 其德伊何？忠a力。
Mou2008.097.1.3： 勤止厥身，帥□靡f革。
Mou2008.097.1.4： 謩兹𥮏猶，道以經f國。
Mou2008.097.1.5： 班化黎元，既清且a寧。
Mou2008.097.1.6： 武稜攜，文懷徦e冥。
Mou2008.097.1.7： 遠人斯服，份士充e庭。
Mou2008.097.1.8： 剛柔攸得，以和以a平。
Mou2008.097.1.9： 勳速藐矣，莫與爭a光。
Mou2008.097.1.10： 甘棠遺愛，東征企a皇。
Mou2008.097.1.11： 念彼恭人，惄焉永a傷。
Mou2008.097.1.12： 立言不㱙，先民所a臧。
Mou2008.097.1.13： 載名金石，詒亐无a疆。
Mou2008.099.1.1： 其辭曰：亮元德，於我b君。
Mou2008.099.1.2： 膺清茂，體懿e純。
Mou2008.099.1.3： 超三署，垂令□。
Mou2008.099.1.4： 甄聲號，□憲ωs臺。
Mou2008.099.1.5： 矯王業，弼紫c微。
Mou2008.099.1.6： 彈羣司，清公□。
Mou2008.099.1.7： 緩薄賦，牧邦ωt畿。
Mou2008.099.1.8： 棃烝殷，罔荒ωu饑。
Mou2008.099.1.9： 感良臣，哀其e靈。
Mou2008.099.1.10： 朅輕舉，□来e征。
Mou2008.099.1.11： 民歎思，暨輿a人。
Mou2008.099.1.12： 宰府命，遂□。
Mou2008.099.1.13： 名振射，□彌闡，垂令紀，永不ωv刊。
Mou2008.099.1.14： 亐胥德，㳅後e昆。
Mou2008.100.1.1： 其辭曰：峨峨我君，烈孔e純。
Mou2008.100.1.2： 高朗神武，歷世忠a孝。
Mou2008.100.1.3： 馮隆鴻軌，不忝前a人。
Mou2008.100.1.4： 寬猛不主，德義是a經。
Mou2008.100.1.5： 韜綜頙□，溫故前ωw呈。
Mou2008.100.1.6： 㩜英接秀，踵迹晏a平。
Mou2008.100.1.7： 初據百里，顯顯令聞，濟康下g民。
Mou2008.100.1.8： 曜武南會，邊民是ωx鎮。
Mou2008.100.1.9： 惟□□□，憂及退g身。
Mou2008.100.1.10： 叅議帝室，剖苻守ωy藩。
Mou2008.100.1.11： 北靖□□，有□有e聲。
Mou2008.100.1.12： 旋守中嶽，幽滯以e榮。
Mou2008.100.1.13： 邁種舊京，忄□□□。
Mou2008.100.1.14： 含澤戴仁，□□攸a寧。
Mou2008.100.1.15： 剋長剋君，不虞不a陽。
Mou2008.100.1.16： 維明維允，燿此聲a香。
Mou2008.100.1.17： 能悊能惠，剋亮天k功。
Mou2008.100.1.18： 入統□□，赳赳光a光。
Mou2008.100.1.19： 法言稽古，道而後a行。
