Mou2008.015.1.1： 惟平山a君。
Mou2008.030.1.32： 翻揚隆a洽。
Mou2008.030.1.33： 身滅名a存。
Mou2008.030.1.34： 美稱a修（飭）。
Mou2008.030.1.35： 勉崇素a意。
Mou2008.030.1.36： □□□□。
Mou2008.030.1.37： □□□（日吉）。
Mou2008.030.1.38： 流惠後a昆。
Mou2008.030.1.39： 四時祭a祀。
Mou2008.030.1.40： 煙火連a延。
Mou2008.030.1.41： 萬歲不a絕。
Mou2008.030.1.42： 勖于後a人。
Mou2008.034.1.1： 維烏維a烏。
Mou2008.034.1.2： 尚懷反a報。
Mou2008.034.1.3： 何況於a人。
Mou2008.034.1.4： 號治四a靈。
Mou2008.034.1.5： 君臣父a子。
Mou2008.034.1.6： 順孫弟a弟。
Mou2008.034.1.7： 二親薨a沒。
Mou2008.034.1.8： 孤悲惻a怛。
Mou2008.034.1.9： 嗚號正a月。
Mou2008.034.1.10： 旦夕思慕冱a心。
Mou2008.034.1.11： 長网五a內。
Mou2008.034.1.12： 力求天a命。
Mou2008.034.1.13： 年壽非a永。
Mou2008.034.1.14： 百身莫a贖。
Mou2008.034.1.15： 欲廣祠a廟。
Mou2008.034.1.16： 尚無餘a日。
Mou2008.034.1.17： 嗚a呼。
Mou2008.034.1.18： 匪愛力a財。
Mou2008.034.1.19： 迫於制a度。
Mou2008.034.1.20： 蓋欲章明孔子葬a母。
Mou2008.034.1.21： 四尺之裔行上a德。
Mou2008.034.1.22： 比承前聖歲a少。
Mou2008.034.1.23： 以降昭a皆。
Mou2008.034.1.24： 永為德a儉。
Mou2008.034.1.25： 人且記入於a禮。
Mou2008.034.1.26： 秦仙爰敢宣a情。
Mou2008.034.1.27： 徵之斯a石。
Mou2008.034.1.28： 示有表a儀。
Mou2008.034.1.29： 孝弟之a至。
Mou2008.034.1.30： 通於神a明。
Mou2008.034.1.31： 子孫奉a祠。
Mou2008.034.1.32： 欣肅a慎焉。
Mou2008.044.1.1： 惟中嶽大a室。
Mou2008.044.1.2： 崇高神a君。
Mou2008.044.1.3： 處茲中a夏。
Mou2008.044.1.4： 伐業最a純。
Mou2008.044.1.5： 春生萬a物。
Mou2008.044.1.6： 膚寸起a雲。
Mou2008.044.1.7： 潤施原a流。
Mou2008.044.1.8： 鴻濛沛a宣。
Mou2008.044.1.9： 竝天四a海。
Mou2008.044.1.10： 莫不蒙a恩。
Mou2008.044.1.11： 聖朝肅a敬。
Mou2008.044.1.12： 衆庶所a尊。
Mou2008.044.1.13： 齋誡奉a祀。
Mou2008.044.1.14： 戰慄盡a懃。
Mou2008.044.1.15： 以頌功a德。
Mou2008.044.1.16： 刻石紀a文。
Mou2008.044.1.17： 垂顯述a異。
Mou2008.044.1.18： 以傳後a賢。
Mou2008.051.1.1： 惟王孝a淵。
Mou2008.051.1.2： 嚴【己】毅【a仁】。
Mou2008.051.1.3： □懷慷a慨。
Mou2008.051.1.4： □□□□。
Mou2008.051.1.5： □□□□。
Mou2008.051.1.6： 清約節a儉。
Mou2008.051.1.7： 進退應□。
Mou2008.051.1.8： □□□a福。
Mou2008.051.1.9： 莫□□□。
Mou2008.051.1.10： □乎鴻a發。
Mou2008.051.1.11： 紹內廷□□□□□□□□□穀□a聖。
Mou2008.051.1.12： □芬幽a蘭。
Mou2008.051.1.13： 伯□伯□。
Mou2008.051.1.14： □墳造a墓。
Mou2008.051.1.15： 蘭疏幽a房。
Mou2008.051.1.16： □□燿a丘。
Mou2008.051.1.17： □禮□□。
Mou2008.051.1.18： □□勒a控。
Mou2008.051.1.19： □奉來a昆。
Mou2008.051.1.20： □履踰□。
Mou2008.051.1.21： □思竭□。
Mou2008.051.1.22： 鴻□維□。
Mou2008.051.1.23： □□隆a榮。
Mou2008.051.1.24： 大協同a歸。
Mou2008.051.1.25： 石立□a顯。
Mou2008.051.1.26： 爰示後a世。
Mou2008.051.1.27： 台台勿a忘。
Mou2008.051.1.28： 子子孫a孫。
Mou2008.051.1.29： 秉承久a長。
Mou2008.058.1.1： 從事秉a德。
Mou2008.058.1.2： 如玉如a瑩。
Mou2008.058.1.3： 表像所a挺。
Mou2008.058.1.4： 履方【所】（下闕）a上。
Mou2008.058.1.5： 勳力有a成。
Mou2008.058.1.6： 浩浩兾a圡。
Mou2008.058.1.7： 從事是（糹a一八土）。
Mou2008.058.1.8： 所（下闕）是a屏。
Mou2008.058.1.9： 何寤不a遂。
Mou2008.058.1.10： 中年殀a苓。
Mou2008.058.1.11： 世喪模a範。
Mou2008.058.1.12： 朝以造茲漢安元a軨。
Mou2008.064.1.1： 君幼□顔閔之楙a質。
Mou2008.064.1.2： 長敷斿夏之文a學。
Mou2008.064.1.3： 慈惠寬□。
Mou2008.064.1.4： 孝友玄a妙。
Mou2008.064.1.5： 苞羅術a蓺。
Mou2008.064.1.6： 貫洞聖□。
Mou2008.064.1.7： 博兼□□。
Mou2008.064.1.8： 耽綜典a籍。
Mou2008.064.1.9： □思□a純。
Mou2008.064.1.10： 求福不a回。
Mou2008.064.1.11： 清聲美a行。
Mou2008.064.1.12： 闡形遠a近。
Mou2008.064.1.13： 州郡貪其高賢幼a少。
Mou2008.064.1.14： 請以□□歲a舉。
Mou2008.064.1.15： □翼紫a宮。
Mou2008.064.1.16： □□詔a除。
Mou2008.064.1.17： 光顯王a室。
Mou2008.064.1.18： 有□於a國。
Mou2008.064.1.19： 帝庸a嘉之。
Mou2008.064.1.20： 掌司古□。
Mou2008.064.1.21： 領校秘a𨞓。
Mou2008.064.1.22： 研□幽a微。
Mou2008.064.1.23： 追昔劉a向。
Mou2008.064.1.24： 辯、賈之a徒。
Mou2008.064.1.25： 比□a萬矣。
Mou2008.064.1.26： 時戎□□。
Mou2008.064.1.27： 匡正一□。
Mou2008.064.1.28： □朝廷惟憂□□。
Mou2008.064.1.29： 有司□□舉a君。
Mou2008.064.1.30： 斑到官之a日。
Mou2008.064.1.31： □癘吏a士。
Mou2008.064.1.32： 哮虎之a怒。
Mou2008.064.1.33： 薄伐□□。
Mou2008.064.1.34： □□□□。
Mou2008.064.1.35： □□□a並。
Mou2008.064.1.36： 百姓a賴之。
Mou2008.064.1.37： 邦域既a寧。
Mou2008.064.1.38： 久勞于a外。
Mou2008.064.1.39： 當還本a朝。
Mou2008.064.1.40： 以敘左a右。
Mou2008.064.1.41： 其辭曰：於惟武a君。
Mou2008.064.1.42： 允德允a恭。
Mou2008.064.1.43： 受天休a命。
Mou2008.064.1.44： 積祉所a鍾。
Mou2008.064.1.45： 其在孩a提。
Mou2008.064.1.46： 岐嶷發a蹤。
Mou2008.064.1.47： 謙□守a約。
Mou2008.064.1.48： 唯誼是a從。
Mou2008.064.1.49： 孝深《凱a風》。
Mou2008.064.1.50： 志絜《羔a羊》。
Mou2008.064.1.51： 樂是□□。
Mou2008.064.1.52： 恬此榮a光。
Mou2008.064.1.53： 孳孳臨a川。
Mou2008.064.1.54： 闚見□a廧。
Mou2008.064.1.55： 𤹯仰萁a首。
Mou2008.064.1.56： 微妙玄a通。
Mou2008.064.1.57： □然清a邈。
Mou2008.064.1.58： □□□□。
Mou2008.064.1.59： □□【升□。
Mou2008.064.1.60： 爲帝股a肱。
Mou2008.064.1.61： 扶助大a和。
Mou2008.064.1.62： 萬民迺a蒙。
Mou2008.064.1.63： 顯宗□□。
Mou2008.064.1.64： 史官書a功。
Mou2008.064.1.65： 昊天上a帝。
Mou2008.064.1.66： 𨹓茲鞠a凶。
Mou2008.064.1.67： 晻忽徂a逝。
Mou2008.064.1.68： □□□a宮。
Mou2008.064.1.69： 不享耆a耇。
Mou2008.064.1.70： 大命□□。
Mou2008.064.1.71： 百𨖒惟□。
Mou2008.064.1.72： 后帝感a傷。
Mou2008.064.1.73： 學夫喪a師。
Mou2008.064.1.74： 士女悽a愴。
Mou2008.064.1.75： 旌表金a石。
Mou2008.064.1.76： 令問不a忘。
Mou2008.064.1.77： 垂□後a昆。
Mou2008.064.1.78： 億載歎a誦。
Mou2008.069.1.1： 巖巖繆a君。
Mou2008.069.1.2： 禮性純a淑。
Mou2008.069.1.3： 信心堅a明。
Mou2008.069.1.4： □□□a備。
Mou2008.069.1.5： 京氏《易經》□□□。
Mou2008.069.1.6： 恭儉禮a讓。
Mou2008.069.1.7： 惠□□。
Mou2008.069.1.8： □□告□。
Mou2008.069.1.9： 念遠近敬a薌。
Mou2008.069.1.10： 少秉□里□□府a召。
Mou2008.069.1.11： 退辟□□。
Mou2008.069.1.12： 執念閭a巷。
Mou2008.069.1.13： □相□□。
Mou2008.069.1.14： □賢知a命。
Mou2008.069.1.15： 復遇坐a席。
Mou2008.069.1.16： 要舞黑a紼。
Mou2008.077.1.1： 忉戃悔歷□消a㓝。
Mou2008.077.1.2： 斯志顛a仆。
Mou2008.077.1.3： 心懷弗a寧。
Mou2008.077.1.4： 發憤脩a立。
Mou2008.077.1.5： 以顯光a榮。
Mou2008.077.1.6： 惟乾動a運。
Mou2008.077.1.7： 坤道靜a貞。
Mou2008.077.1.8： 夫人淑□。
Mou2008.077.1.9： □坤之a靈。
Mou2008.077.1.10： 十六適a配。
Mou2008.077.1.11： 教誨有a成。
Mou2008.077.1.12： □□□a瑛。
Mou2008.077.1.13： 束脩舅a姑。
Mou2008.077.1.14： 絜己不a廎。
Mou2008.077.1.15： 年踰七a十。
Mou2008.077.1.16： 如玉如□。
Mou2008.077.1.17： 陰陽喪a度。
Mou2008.077.1.18： 三㓻離a道。
Mou2008.077.1.19： 明星隕a墜。
Mou2008.077.1.20： □□□a哀。
Mou2008.077.1.21： 寢疾固a銷。
Mou2008.077.1.22： 大命催□魂靈a歸。
Mou2008.080.1.1： 其文曰：皇戲統華a胥。
Mou2008.080.1.2： 承天畫a卦。
Mou2008.080.1.3： 顔育空a桑。
Mou2008.080.1.4： 孔制元a孝。
Mou2008.080.1.5： 俱祖紫a宮。
Mou2008.080.1.6： 大一所a授。
Mou2008.080.1.7： 前闓九a頭。
Mou2008.080.1.8： 以󰶘言教；後制百a王。
Mou2008.080.1.9： 獲麟来a吐。
Mou2008.080.1.10： 制不空a作。
Mou2008.080.1.11： 承天之a語。
Mou2008.080.1.12： 乾元以a來。
Mou2008.080.1.13： 三九之a載。
Mou2008.080.1.14： 八皇三a代。
Mou2008.080.1.15： 至孔乃a備。
Mou2008.080.1.16： 聖人不a世。
Mou2008.080.1.17： 期五百a載。
Mou2008.080.1.18： 三陽吐a圖。
Mou2008.080.1.19： 二隂出a讖。
Mou2008.080.1.20： 制作之a義。
Mou2008.080.1.21： 以俟知a奧。
Mou2008.080.1.22： 於穆韓a君。
Mou2008.080.1.23： 獨見天a意。
Mou2008.080.1.24： 復聖二a族。
Mou2008.080.1.25： 逴越絕a思。
Mou2008.080.1.26： 脩造禮a樂。
Mou2008.080.1.27： 胡輦器a用。
Mou2008.080.1.28： 存古舊a宇。
Mou2008.080.1.29： 慇懃宅a廟。
Mou2008.080.1.30： 朝車威a熹。
Mou2008.080.1.31： 出誠造□。
Mou2008.080.1.32： 漆不水a解。
Mou2008.080.1.33： 工不爭a賈。
Mou2008.080.1.34： 深除玄a汙。
Mou2008.080.1.35： 水通四a注。
Mou2008.080.1.36： 禮器升a堂。
Mou2008.080.1.37： 天雨降a澍。
Mou2008.080.1.38： 百姓訢a和。
Mou2008.080.1.39： 舉國蒙a慶。
Mou2008.080.1.40： 神靈祐a誠。
Mou2008.080.1.41： 竭敬之a報。
Mou2008.080.1.42： 天與厥a福。
Mou2008.080.1.43： 永享牟a壽。
Mou2008.080.1.44： 上極華a紫。
Mou2008.080.1.45： 旁伎皇a代。
Mou2008.080.1.46： 刊石表a銘。
Mou2008.080.1.47： 與乾運a燿。
Mou2008.080.1.48： 長期蕩a蕩。
Mou2008.080.1.49： 於盛復a授。
Mou2008.080.1.50： 赫赫罔a窮。
Mou2008.080.1.51： 聲垂億a載。
Mou2008.082.1.1： 其辭曰：於惟郎a中。
Mou2008.082.1.2： 寔天生a德。
Mou2008.082.1.3： 頙親誨a弟。
Mou2008.082.1.4： 虔恭竭a力。
Mou2008.082.1.5： 教我義a方。
Mou2008.082.1.6： 導我礼a則。
Mou2008.082.1.7： 傳宣孔a業。
Mou2008.082.1.8： 作世模a式。
Mou2008.082.1.9： 從政事a上。
Mou2008.082.1.10： 忠以自a勖。
Mou2008.082.1.11： 貢計王a庭。
Mou2008.082.1.12： 華夏歸a服。
Mou2008.082.1.13： 帝用a嘉之。
Mou2008.082.1.14： 顯拜殊a特。
Mou2008.082.1.15： 將從雅a意。
Mou2008.082.1.16： 色斯自a得。
Mou2008.082.1.17： 乃遭氛a災。
Mou2008.082.1.18： 隕命顛a沛。
Mou2008.082.1.19： 家失所a怙。
Mou2008.082.1.20： 國亡忠a直。
Mou2008.082.1.21： 俯哭誰a𧦡。
Mou2008.082.1.22： 卬唬焉a告。
Mou2008.082.1.23： 嗟嗟孟a子。
Mou2008.082.1.24： 苗而弗a毓。
Mou2008.082.1.25： 奉我元a兄。
Mou2008.082.1.26： 󶠴孝罔a極。
Mou2008.082.1.27： 魂而有a靈。
Mou2008.082.1.28： 亦歆斯a勒。
Mou2008.086.1.1： 其辭曰：□永挺□□□□。
Mou2008.086.1.2： □聖□兮勳典a則。
Mou2008.086.1.3： □□□兮刺過a直。
Mou2008.086.1.4： 以謇愕兮□右a軄。
Mou2008.086.1.5： 抱□□兮十□□。
Mou2008.086.1.6： 身雖歿兮談不□。
Mou2008.086.1.7： 垂功烈兮光万a億。
Mou2008.087.1.1： 乃作頌曰：穆穆聖a蒼。
Mou2008.087.1.2： （下闕）表a名。
Mou2008.087.1.3： 永久彌a光。
Mou2008.087.1.4： 無德不a報。
Mou2008.087.1.5： □□百a行。
Mou2008.087.1.6： 順禮（下闕）a聲。
Mou2008.087.1.7： 休嘉孔a融。
Mou2008.088.1.1： 其辭曰：泫泫淮a源。
Mou2008.088.1.2： 聖禹所導；湯湯其a逝。
Mou2008.088.1.3： 惟海是a造。
Mou2008.088.1.4： 疏穢濟a遠。
Mou2008.088.1.5： 柔順其a道。
Mou2008.088.1.6： 弱而能a强。
Mou2008.088.1.7： 仁而能a武。
Mou2008.088.1.8： □□晝a夜。
Mou2008.088.1.9： 明哲所a取。
Mou2008.088.1.10： 寔爲四a瀆。
Mou2008.088.1.11： 與河合a矩。
Mou2008.088.1.12： 烈烈明a府。
Mou2008.088.1.13： 好古之a則。
Mou2008.088.1.14： 虔恭禮a祀。
Mou2008.088.1.15： 不愆其a德。
Mou2008.088.1.16： 惟前廢a弛。
Mou2008.088.1.17： 匪躬匪a力。
Mou2008.088.1.18： 災眚以a興。
Mou2008.088.1.19： 陰陽以a忒。
Mou2008.088.1.20： 陟彼高a岡。
Mou2008.088.1.21： 臻茲廟a側。
Mou2008.088.1.22： 肅肅其a敬。
Mou2008.088.1.23： 靈祇降a福。
Mou2008.088.1.24： 雍雍其a和。
Mou2008.088.1.25： 民用悅a服。
Mou2008.088.1.26： 穰穰其a慶。
Mou2008.088.1.27： 年穀豐a殖。
Mou2008.088.1.28： 望君輿a駕。
Mou2008.088.1.29： 扶老攜a息。
Mou2008.088.1.30： 慕君塵a軌。
Mou2008.088.1.31： 𠬼走忘a食。
Mou2008.088.1.32： 懷君恵a賜。
Mou2008.088.1.33： 思君罔a極。
Mou2008.088.1.34： 于胥a樂兮。
Mou2008.088.1.35： 傳于萬a億。
Mou2008.089.1.1： 其辭曰：父a通。
Mou2008.089.1.2： 本治白孟《易》丁君章a句。
Mou2008.089.1.3： 師事上黨鮑a公。
Mou2008.089.1.4： 故郡掾史、功曹主a簿。
Mou2008.089.1.5： 載□□a三。
Mou2008.089.1.6： 卦位蹇a微。
Mou2008.089.1.7： 遂不□a起。
Mou2008.089.1.8： 掩然至a斯。
Mou2008.089.1.9： 孤子推a胸。
Mou2008.089.1.10： 痛當奈a何。
Mou2008.089.1.11： 婦孫□□。
Mou2008.089.1.12： 靡不感a悲。
Mou2008.089.1.13： 臨兄弟四：兄長a真。
Mou2008.089.1.14： 年加伯a仲。
Mou2008.089.1.15： 立子三a人。
Mou2008.089.1.16： 委遰子□。
Mou2008.089.1.17： 弟均□a過。
Mou2008.089.1.18： 蚤離春a秋。
Mou2008.089.1.19： 永歸長a夜。
Mou2008.089.1.20： 昭代不a立。
Mou2008.089.1.21： 言之切痛傷人a心。
Mou2008.089.1.22： 所謂苗能不a秀。
Mou2008.089.1.23： 秀能不a實。
Mou2008.089.1.24： 昔武王遭a疾。
Mou2008.089.1.25： 賴有周a公。
Mou2008.089.1.26： 為王殘a命。
Mou2008.089.1.27： 復得延a年。
Mou2008.089.1.28： □有窮□。
Mou2008.089.1.29： □□若a喪。
Mou2008.089.1.30： 由斯a言之。
Mou2008.089.1.31： 命有𢭃a長。
Mou2008.089.1.32： 追念父a恩。
Mou2008.089.1.33： 不可稱a陳。
Mou2008.089.1.34： 將作丘a封。
Mou2008.089.1.35： 因序祖a先。
Mou2008.089.1.36： 適□礿a祠。
Mou2008.089.1.37： 蒸嘗魂a靈。
Mou2008.089.1.38： 富貴無a恙。
Mou2008.089.1.39： 傳于子a孫。
Mou2008.089.1.40： □之無a竟。
Mou2008.089.1.41： 亂曰：陰陽變a化。
Mou2008.089.1.42： 四時a分兮。
Mou2008.089.1.43： 人命短a長。
Mou2008.089.1.44： 伹不a存兮。
Mou2008.089.1.45： 改華易a實。
Mou2008.089.1.46： 震垢a塵兮。
Mou2008.089.1.47： 緯象泰a清。
Mou2008.089.1.48： 集神a門兮。
Mou2008.089.1.49： 日月照a幽。
Mou2008.089.1.50： 時晝a昏兮。
Mou2008.089.1.51： 精感惟a世。
Mou2008.089.1.52： 擬獲a驎兮。
Mou2008.089.1.53： 悲傷永a絕。
Mou2008.089.1.54： 失壽a年兮。
Mou2008.089.1.55： 升車下a征。
Mou2008.089.1.56： 赴黃a泉兮。
Mou2008.089.1.57： 嗚呼哀a哉。
Mou2008.089.1.58： 義割a恩兮。
Mou2008.090.1.1： 其辭曰：天作高a山。
Mou2008.090.1.2： 寔惟封a龍。
Mou2008.090.1.3： 平地特a起。
Mou2008.090.1.4： 靈亮上a通。
Mou2008.090.1.5： 嵯峨𡷽a峻。
Mou2008.090.1.6： 高麗無a雙。
Mou2008.090.1.7： 神燿赫a赫。
Mou2008.090.1.8： 理物含a光。
Mou2008.090.1.9： 賛天休a命。
Mou2008.090.1.10： 德合无a疆。
Mou2008.090.1.11： 惠此邦a域。
Mou2008.090.1.12： 以綏四a方。
Mou2008.090.1.13： 國富年a豐。
Mou2008.090.1.14： 穡民用a章。
Mou2008.090.1.15： 刻石紀a銘。
Mou2008.090.1.16： 令德不a忘。
Mou2008.091.1.1： 其辭曰：於顯我a君。
Mou2008.091.1.2： 懿德惟a光。
Mou2008.091.1.3： 紹聖作a儒。
Mou2008.091.1.4： 身立名a彰。
Mou2008.091.1.5： 貢登王a室。
Mou2008.091.1.6： 閽閣a是。
Mou2008.091.1.7： 夙夜□□。
Mou2008.091.1.8： 在公明a明。
Mou2008.091.1.9： 乃綏二a縣。
Mou2008.091.1.10： 𥡓儀以a康。
Mou2008.091.1.11： 於丌時a廱。
Mou2008.091.1.12： 撫茲岱a方。
Mou2008.091.1.13： 帥彼凶a人。
Mou2008.091.1.14： 覆俾□□。
Mou2008.091.1.15： 南畝孔a饁。
Mou2008.091.1.16： 山有夷a行。
Mou2008.091.1.17： 豐年多a黍。
Mou2008.091.1.18： 稱彼兕a觥。
Mou2008.091.1.19： 帝賴其a勳。
Mou2008.091.1.20： 民斯是a皇。
Mou2008.091.1.21： 疾□□□。
Mou2008.091.1.22： 乃委其a榮。
Mou2008.091.1.23： 忠告慇a勤。
Mou2008.091.1.24： 屢省乃a聽。
Mou2008.091.1.25： 恭儉自a終。
Mou2008.091.1.26： 盙簋不a敶。
Mou2008.091.1.27： 生播高a譽。
Mou2008.091.1.28： 歿垂令a名。
Mou2008.091.1.29： 永矢不a刊。
Mou2008.091.1.30： 億載揚a聲。
Mou2008.092.1.1： 其辭曰：巖巖西a嶽。
Mou2008.092.1.2： 峻極穹a蒼。
Mou2008.092.1.3： 奄有河a朔。
Mou2008.092.1.4： 遂荒崋a陽。
Mou2008.092.1.5： 觸石興a雲。
Mou2008.092.1.6： 雨我農a桑。
Mou2008.092.1.7： 資糧品a物。
Mou2008.092.1.8： 亦相瑤a光。
Mou2008.092.1.9： 崇冠二a州。
Mou2008.092.1.10： 古曰雍a梁。
Mou2008.092.1.11： 馮于豳a岐。
Mou2008.092.1.12： 文武克a昌。
Mou2008.092.1.13： 天子展a義。
Mou2008.092.1.14： 巡狩省a方。
Mou2008.092.1.15： 玉帛之a贄。
Mou2008.092.1.16： 禮與岱a亢。
Mou2008.092.1.17： 《六樂》之a變。
Mou2008.092.1.18： 舞以致a康。
Mou2008.092.1.19： 在漢中a葉。
Mou2008.092.1.20： 建設宇a堂。
Mou2008.092.1.21： 山嶽之a守。
Mou2008.092.1.22： 是秩是a望。
Mou2008.092.1.23： 侯惟安a國。
Mou2008.092.1.24： 兼命斯a章。
Mou2008.092.1.25： 尊脩靈a基。
Mou2008.092.1.26： 肅共壇a場。
Mou2008.092.1.27： 明德惟a馨。
Mou2008.092.1.28： 神歆其a芳。
Mou2008.092.1.29： 遏禳凶a札。
Mou2008.092.1.30： 揫斂吉a祥。
Mou2008.092.1.31： 嵗其有a年。
Mou2008.092.1.32： 民說無a疆。
Mou2008.094.1.1： 其頌曰：於鑠我a祖。
Mou2008.094.1.2： 膺是懿a德。
Mou2008.094.1.3： 永惟孝a思。
Mou2008.094.1.4： 亦世弘a業。
Mou2008.094.1.5： 昭哉孝a嗣。
Mou2008.094.1.6： 光流萬a國。
Mou2008.094.1.7： 秩秩其a威。
Mou2008.094.1.8： 娥娥厥a𩔜。
Mou2008.094.1.9： 此宜蹈a鼎。
Mou2008.094.1.10： 善世令a王。
Mou2008.094.1.11： 如何夙a隕。
Mou2008.094.1.12： 丁此咎a𣧑。
Mou2008.094.1.13： 國無人兮王庭a空。
Mou2008.094.1.14： 𣎶罔宗兮微言a喪。
Mou2008.094.1.15： 王機悵兮嘉謀a荒。
Mou2008.094.1.16： 旌洪德兮表元a功。
Mou2008.094.1.17： 闡君靈兮示後a萌。
Mou2008.094.1.18： 神有識兮營壇a場。
Mou2008.096.1.1： 其辭曰：清和穆a鑠。
Mou2008.096.1.2： 寔惟乾a坤。
Mou2008.096.1.3： 惟嶽降a靈。
Mou2008.096.1.4： 篤生我a君。
Mou2008.096.1.5： 服體叡a聖。
Mou2008.096.1.6： 允鍾厥a醇。
Mou2008.096.1.7： 誕生岐a嶷。
Mou2008.096.1.8： 言協□a墳。
Mou2008.096.1.9： 懿德震a燿。
Mou2008.096.1.10： 孝行通a神。
Mou2008.096.1.11： 動履規a繩。
Mou2008.096.1.12： 文彰a繽。
Mou2008.096.1.13： 成是正a服。
Mou2008.096.1.14： 以道德a民。
Mou2008.096.1.15： 有父子然後有君a臣。
Mou2008.096.1.16： 理財正a辭。
Mou2008.096.1.17： 束帛戔a戔。
Mou2008.096.1.18： □夢刻a像。
Mou2008.096.1.19： 隺鳴一a震。
Mou2008.096.1.20： 天臨保a漢。
Mou2008.096.1.21： 寔生□a仁。
Mou2008.096.1.22： 明試賦a授。
Mou2008.096.1.23： 夷夏已a親。
Mou2008.096.1.24： 嘉錫来a撫。
Mou2008.096.1.25： 潜化如a神。
Mou2008.096.1.26： 其神伊何？靈不傷a人。
Mou2008.096.1.27： 猗歟明a哲。
Mou2008.096.1.28： 秉道之a樞。
Mou2008.096.1.29： 養□之a福。
Mou2008.096.1.30： 惟德之a偶。
Mou2008.096.1.31： 淵乎其a長。
Mou2008.096.1.32： 渙乎成a功。
Mou2008.096.1.33： □暇民a豫。
Mou2008.096.1.34： 新我□a通。
Mou2008.096.1.35： 用行則a達。
Mou2008.096.1.36： 以誘我a邦。
Mou2008.096.1.37： 賴茲劉a父。
Mou2008.096.1.38： 用說其a蒙。
Mou2008.096.1.39： 澤零年a豐。
Mou2008.096.1.40： 黔首歌a頌。
Mou2008.097.1.1： 其辭曰：明明楊a君。
Mou2008.097.1.2： 懿鑠其a德。
Mou2008.097.1.3： 其德伊何？忠a力。
Mou2008.097.1.4： 勤止厥a身。
Mou2008.097.1.5： 帥□靡a革。
Mou2008.097.1.6： 謩兹𥮏a猶。
Mou2008.097.1.7： 道以經a國。
Mou2008.097.1.8： 班化黎a元。
Mou2008.097.1.9： 既清且a寧。
Mou2008.097.1.10： 武稜a攜。
Mou2008.097.1.11： 文懷徦a冥。
Mou2008.097.1.12： 遠人斯a服。
Mou2008.097.1.13： 份士充a庭。
Mou2008.097.1.14： 剛柔攸a得。
Mou2008.097.1.15： 以和以a平。
Mou2008.097.1.16： 勳速a藐矣。
Mou2008.097.1.17： 莫與爭a光。
Mou2008.097.1.18： 甘棠遺a愛。
Mou2008.097.1.19： 東征企a皇。
Mou2008.097.1.20： 念彼恭a人。
Mou2008.097.1.21： 惄焉永a傷。
Mou2008.097.1.22： 立言不a㱙。
Mou2008.097.1.23： 先民所a臧。
Mou2008.097.1.24： 載名金a石。
Mou2008.097.1.25： 詒亐无a疆。
Mou2008.099.1.1： 其辭曰：亮元a德。
Mou2008.099.1.2： 於我a君。
Mou2008.099.1.3： 膺清a茂。
Mou2008.099.1.4： 體懿a純。
Mou2008.099.1.5： 超三a署。
Mou2008.099.1.6： 垂令□。
Mou2008.099.1.7： 甄聲a號。
Mou2008.099.1.8： □憲a臺。
Mou2008.099.1.9： 矯王a業。
Mou2008.099.1.10： 弼紫a微。
Mou2008.099.1.11： 彈羣a司。
Mou2008.099.1.12： 清公□。
Mou2008.099.1.13： 緩薄a賦。
