結	38
溢	0
疾	1
游	34
丘	1
流	44
期	79
滋	21
施	18
此	23
有	325
離	32
覆	3
洽	1
修	1
昆	0
延	4
人	650
是	神	0
是	庭	0
是	生	0
是	清	0
是	盈	0
是	坤	0
是	君	0
是	孫	0
是	昆	0
是	優	0
是	搖	0
是	休	0
是	疇	0
是	條	0
是	熹	0
是	朝	0
是	治	0
是	隅	0
是	祺	0
是	保	0
秦	神	0
秦	庭	0
秦	生	0
秦	清	0
秦	盈	0
秦	坤	0
秦	君	0
秦	孫	0
秦	昆	0
秦	優	0
秦	搖	0
秦	休	0
秦	疇	0
秦	條	0
秦	熹	0
秦	朝	0
秦	治	0
秦	隅	0
秦	祺	0
秦	保	0
神	庭	0
神	生	0
神	清	0
神	盈	0
神	坤	0
神	君	0.16666666666666666
神	孫	0
神	昆	0
神	優	0
神	搖	0
神	休	0
神	疇	0
神	條	0
神	熹	0
神	朝	0
神	治	0
神	隅	0
神	祺	0
神	保	0
庭	生	1.0
庭	清	0.2
庭	盈	0
庭	坤	0
庭	君	0
庭	孫	0
庭	昆	0
庭	優	0
庭	搖	0
庭	休	0
庭	疇	0
庭	條	0
庭	熹	0
庭	朝	0.04
庭	治	0
庭	隅	0
庭	祺	0
庭	保	0
生	清	0
生	盈	0
生	坤	0
生	君	0.25
生	孫	0
生	昆	0
生	優	0
生	搖	0
生	休	0
生	疇	0
生	條	0
生	熹	0
生	朝	0
生	治	0
生	隅	0
生	祺	0
生	保	0
清	盈	0
清	坤	0
清	君	0
清	孫	0
清	昆	0
清	優	0
清	搖	0
清	休	0
清	疇	0
清	條	0
清	熹	0
清	朝	0
清	治	0
清	隅	0
清	祺	0
清	保	0
盈	坤	0
盈	君	0
盈	孫	0
盈	昆	0
盈	優	0
盈	搖	0
盈	休	0
盈	疇	0
盈	條	0
盈	熹	0
盈	朝	0
盈	治	0
盈	隅	0
盈	祺	0
盈	保	0
坤	君	0
坤	孫	0
坤	昆	0
坤	優	0
坤	搖	0
坤	休	0
坤	疇	0
坤	條	0
坤	熹	0
坤	朝	0
坤	治	0
坤	隅	0
坤	祺	0
坤	保	0
君	孫	0.5
君	昆	0
君	優	0
君	搖	0
君	休	0
君	疇	0
君	條	0
君	熹	0
君	朝	0
君	治	0
君	隅	0
君	祺	0
君	保	0
孫	昆	0
孫	優	0
孫	搖	0
孫	休	0
孫	疇	0
孫	條	0
孫	熹	0
孫	朝	0
孫	治	0
孫	隅	0
孫	祺	0
孫	保	0.3333333333333333
昆	優	0
昆	搖	0
昆	休	0
昆	疇	0
昆	條	0
昆	熹	0
昆	朝	0
昆	治	0
昆	隅	0
昆	祺	0
昆	保	0
優	搖	0
優	休	0
優	疇	0
優	條	0
優	熹	0
優	朝	0
優	治	0
優	隅	0
優	祺	0
優	保	0
搖	休	0
搖	疇	0
搖	條	0
搖	熹	0
搖	朝	0
搖	治	0
搖	隅	0
搖	祺	0
搖	保	0
休	疇	0
休	條	0
休	熹	0
休	朝	0
休	治	0
休	隅	0.08333333333333333
休	祺	0
休	保	0
疇	條	0
疇	熹	0
疇	朝	0
疇	治	0
疇	隅	0
疇	祺	0
疇	保	0
條	熹	0
條	朝	0
條	治	0
條	隅	0
條	祺	0
條	保	0
熹	朝	0
熹	治	0
熹	隅	0
熹	祺	0
熹	保	0
朝	治	0
朝	隅	0
朝	祺	0
朝	保	0
治	隅	0
治	祺	0
治	保	0
隅	祺	0
隅	保	0
祺	保	0
仁	38
儉	15
福	23
發	27
蘭	25
墓	9
丘	18
控	0
歸	170
世	93
孫	729
仁	儉	0
仁	福	0
仁	發	0
仁	蘭	0
仁	墓	0
仁	丘	0
仁	控	0
仁	歸	0
仁	世	0
仁	孫	0
儉	福	0
儉	發	0
儉	蘭	0
儉	墓	0
儉	丘	0
儉	控	0
儉	歸	0
儉	世	0
儉	孫	0
福	發	0
福	蘭	0
福	墓	0
福	丘	0
福	控	0
福	歸	0
福	世	0
福	孫	0
發	蘭	0
發	墓	0
發	丘	0
發	控	0
發	歸	0
發	世	0
發	孫	0
蘭	墓	0
蘭	丘	0
蘭	控	0
蘭	歸	0
蘭	世	0
蘭	孫	0
墓	丘	0
墓	控	0
墓	歸	0
墓	世	0
墓	孫	0
丘	控	0
丘	歸	0
丘	世	0
丘	孫	0
控	歸	0
控	世	0
控	孫	0
歸	世	0
歸	孫	0
世	孫	0
瑩	0
上	49
圡	0
屏	0
苓	0
軨	0
瑩	上	0
瑩	圡	0
瑩	屏	0
瑩	苓	0
瑩	軨	0
上	圡	0
上	屏	0
上	苓	0
上	軨	0
圡	屏	0
圡	苓	0
圡	軨	0
屏	苓	0
屏	軨	0
苓	軨	0
天	77
仁	48
真	8
身	36
文	83
農	0
民	81
恩	22
神	41
命	52
親	167
廷	0
衍	0
相	12
向	4
讓	1
竟	511
養	0
寧	137
榮	48
體	20
膺	0
三	63
宜	47
仕	0
首	84
市	313
廷	0
旬	0
質	3
絕	198
鼻	0
寤	11
黨	28
怛	15
蓋	13
期	96
位	30
養	0
哉	43
郎	37
元	1
信	129
民	81
盛	27
楨	0
子	1010
棠	0
亡	2
吏	16
思	193
備	6
就	0
究	17
既	0
志	81
意	132
祐	0
天	仁	0
天	真	0
天	身	0
天	文	0
天	農	0
天	民	0
天	恩	0
天	神	0
天	命	0
天	親	0.25
天	廷	0
天	衍	0
天	相	0
天	向	0
天	讓	0
天	竟	0
天	養	0
天	寧	0
天	榮	0
天	體	0
天	膺	0
天	三	0.2
天	宜	0
天	仕	0
天	首	0
天	市	0.14285714285714285
天	廷	0.017543859649122806
天	旬	0
天	質	0
天	絕	0.3333333333333333
天	鼻	0
天	寤	0
天	黨	0
天	怛	0
天	蓋	0
天	期	0
天	位	0
天	養	0.017543859649122806
天	哉	0
天	郎	0
天	元	0
天	信	0
天	民	0.017543859649122806
天	盛	0
天	楨	0
天	子	0.14285714285714285
天	棠	0
天	亡	0
天	吏	0
天	思	0
天	備	0
天	就	0
天	究	0
天	既	0
天	志	0
天	意	0
天	祐	0
仁	真	0
仁	身	0
仁	文	0
仁	農	0
仁	民	0
仁	恩	0
仁	神	0
仁	命	0
仁	親	0
仁	廷	0
仁	衍	0
仁	相	0
仁	向	0
仁	讓	0
仁	竟	0
仁	養	0
仁	寧	0
仁	榮	0
仁	體	0
仁	膺	0
仁	三	0
仁	宜	0
仁	仕	0
仁	首	0
仁	市	0
仁	廷	0.017543859649122806
仁	旬	0
仁	質	0
仁	絕	0.04
仁	鼻	0
仁	寤	0
仁	黨	0
仁	怛	0
仁	蓋	0
仁	期	0
仁	位	0
仁	養	0.017543859649122806
仁	哉	0
仁	郎	0
仁	元	0
仁	信	0
仁	民	0.017543859649122806
仁	盛	0
仁	楨	0
仁	子	0.04
仁	棠	0
仁	亡	0
仁	吏	0
仁	思	0
仁	備	0
仁	就	0
仁	究	0
仁	既	0
仁	志	0
仁	意	0
仁	祐	0
真	身	0.5
真	文	0
真	農	0
真	民	0.5
真	恩	0
真	神	0.16666666666666666
真	命	0
真	親	0
真	廷	0
真	衍	0
真	相	0
真	向	0
真	讓	0
真	竟	0
真	養	0
真	寧	0
真	榮	0
真	體	0
真	膺	0
真	三	0
真	宜	0
真	仕	0
真	首	0
真	市	0
真	廷	0.017543859649122806
真	旬	0
真	質	0
真	絕	0
真	鼻	0
真	寤	0
真	黨	0
真	怛	0
真	蓋	0
真	期	0
真	位	0
真	養	0.017543859649122806
真	哉	0
真	郎	0
真	元	0
真	信	0
真	民	0.5
真	盛	0
真	楨	0
真	子	0
真	棠	0
真	亡	0
真	吏	0
真	思	0
真	備	0
真	就	0
真	究	0
真	既	0
真	志	0
真	意	0
真	祐	0
身	文	0
身	農	0
身	民	0.5
身	恩	0
身	神	0
身	命	0
身	親	0.125
身	廷	0
身	衍	0
身	相	0
身	向	0
身	讓	0
身	竟	0
身	養	0
身	寧	0
身	榮	0
身	體	0
身	膺	0
身	三	0
身	宜	0
身	仕	0
身	首	0
身	市	0
身	廷	0.017543859649122806
身	旬	0
身	質	0
身	絕	0
身	鼻	0
身	寤	0
身	黨	0
身	怛	0
身	蓋	0
身	期	0.1
身	位	0
身	養	0.017543859649122806
身	哉	0
身	郎	0
身	元	0
身	信	0
身	民	0.5
身	盛	0
身	楨	0
身	子	0
身	棠	0
身	亡	0
身	吏	0
身	思	0
身	備	0
身	就	0
身	究	0
身	既	0
身	志	0
身	意	0
身	祐	0
文	農	0
文	民	0.03571428571428571
文	恩	0.2
文	神	0.03571428571428571
文	命	0
文	親	0
文	廷	0
文	衍	0
文	相	0
文	向	0
文	讓	0
文	竟	0
文	養	0
文	寧	0.16666666666666666
文	榮	0
文	體	0
文	膺	0
文	三	0
文	宜	0
文	仕	0
文	首	0
文	市	0
文	廷	0.017543859649122806
文	旬	0
文	質	0
文	絕	0
文	鼻	0
文	寤	0
文	黨	0
文	怛	0
文	蓋	0
文	期	0
文	位	0
文	養	0.017543859649122806
文	哉	0
文	郎	0
文	元	0
文	信	0
文	民	0.03571428571428571
文	盛	0
文	楨	0
文	子	0
文	棠	0
文	亡	0
文	吏	0
文	思	0
文	備	0
文	就	0
文	究	0
文	既	0
文	志	0
文	意	0
文	祐	0
農	民	0
農	恩	0
農	神	0
農	命	0
農	親	0
農	廷	0
農	衍	0
農	相	0
農	向	0
農	讓	0
農	竟	0
農	養	0
農	寧	0
農	榮	0
農	體	0
農	膺	0
農	三	0
農	宜	0
農	仕	0
農	首	0
農	市	0
農	廷	0.017543859649122806
農	旬	0
農	質	0
農	絕	0
農	鼻	0
農	寤	0
農	黨	0
農	怛	0
農	蓋	0
農	期	0
農	位	0
農	養	0.017543859649122806
農	哉	0
農	郎	0
農	元	0
農	信	0
農	民	0.017543859649122806
農	盛	0
農	楨	0
農	子	0
農	棠	0
農	亡	0
農	吏	0
農	思	0
農	備	0
農	就	0
農	究	0
農	既	0
農	志	0
農	意	0
農	祐	0
民	恩	0
民	神	0.16666666666666666
民	命	0
民	親	0.3333333333333333
民	廷	0
民	衍	0
民	相	0
民	向	0
民	讓	0
民	竟	0
民	養	0
民	寧	0
民	榮	0
民	體	0
民	膺	0
民	三	0
民	宜	0
民	仕	0
民	首	0
民	市	0
民	廷	0.017543859649122806
民	旬	0
民	質	0
民	絕	0
民	鼻	0
民	寤	0
民	黨	0
民	怛	0
民	蓋	0
民	期	0
民	位	0
民	養	0.017543859649122806
民	哉	0
民	郎	0
民	元	0
民	信	0
民	民	0
民	盛	0
民	楨	0
民	子	0
民	棠	0
民	亡	0
民	吏	0
民	思	0
民	備	0
民	就	0
民	究	0
民	既	0
民	志	0
民	意	0
民	祐	0
恩	神	0
恩	命	0
恩	親	1.0
恩	廷	0
恩	衍	0
恩	相	0
恩	向	0
恩	讓	0
恩	竟	0
恩	養	0
恩	寧	0
恩	榮	0
恩	體	0
恩	膺	0
恩	三	0
恩	宜	0
恩	仕	0
恩	首	0
恩	市	0
恩	廷	0.017543859649122806
恩	旬	0
恩	質	0
恩	絕	0
恩	鼻	0
恩	寤	0
恩	黨	0
恩	怛	0
恩	蓋	0
恩	期	0
恩	位	0
恩	養	0.017543859649122806
恩	哉	0
恩	郎	0
恩	元	0
恩	信	0
恩	民	0.017543859649122806
恩	盛	0
恩	楨	0
恩	子	0
恩	棠	0
恩	亡	0
恩	吏	0
恩	思	0
恩	備	0
恩	就	0
恩	究	0
恩	既	0
恩	志	0
恩	意	0
恩	祐	0
神	命	0
神	親	0
神	廷	0
神	衍	0
神	相	0
神	向	0
神	讓	0
神	竟	0
神	養	0
神	寧	0
神	榮	0
神	體	0
神	膺	0
神	三	0
神	宜	0
神	仕	0
神	首	0
神	市	0
神	廷	0.017543859649122806
神	旬	0
神	質	0
神	絕	0
神	鼻	0
神	寤	0
神	黨	0
神	怛	0
神	蓋	0
神	期	0
神	位	0
神	養	0.017543859649122806
神	哉	0
神	郎	0
神	元	0
神	信	0
神	民	0.16666666666666666
神	盛	0
神	楨	0
神	子	0
神	棠	0
神	亡	0
神	吏	0
神	思	0
神	備	0
神	就	0
神	究	0
神	既	0
神	志	0
神	意	0
神	祐	0
命	親	0
命	廷	0
命	衍	0
命	相	0
命	向	0
命	讓	0
命	竟	0.2
命	養	0
命	寧	0
命	榮	0
命	體	0
命	膺	0
命	三	0
命	宜	0
命	仕	0
命	首	0
命	市	0
命	廷	0.017543859649122806
命	旬	0
命	質	0
命	絕	0
命	鼻	0
命	寤	0
命	黨	0
命	怛	0.06666666666666667
命	蓋	0
命	期	0
命	位	0
命	養	0.017543859649122806
命	哉	0
命	郎	0
命	元	0
命	信	0
命	民	0.017543859649122806
命	盛	0
命	楨	0
命	子	0.25
命	棠	0
命	亡	0
命	吏	0
命	思	0
命	備	0
命	就	0
命	究	0
命	既	0
命	志	0
命	意	0
命	祐	0
親	廷	0
親	衍	0
親	相	0
親	向	0
親	讓	0
親	竟	0.25
親	養	0
親	寧	0.041666666666666664
親	榮	0.041666666666666664
親	體	0
親	膺	0
親	三	0
親	宜	0
親	仕	0
親	首	0
親	市	0
親	廷	0.017543859649122806
親	旬	0
親	質	0
親	絕	1.0
親	鼻	0
親	寤	0
親	黨	0
親	怛	0
親	蓋	0
親	期	0
親	位	0
親	養	0.017543859649122806
親	哉	0
親	郎	0
親	元	0
親	信	1.0
親	民	0.3333333333333333
親	盛	0
親	楨	0
親	子	0.5
親	棠	0
親	亡	0
親	吏	0
親	思	0
親	備	0
親	就	0
親	究	1.0
親	既	0
親	志	0
親	意	0
親	祐	0
廷	衍	0
廷	相	0
廷	向	0
廷	讓	0
廷	竟	0
廷	養	0
廷	寧	0
廷	榮	0
廷	體	0
廷	膺	0
廷	三	0
廷	宜	0
廷	仕	0
廷	首	0
廷	市	0
廷	廷	0
廷	旬	0
廷	質	0
廷	絕	0
廷	鼻	0
廷	寤	0
廷	黨	0
廷	怛	0
廷	蓋	0
廷	期	0
廷	位	0
廷	養	0.017543859649122806
廷	哉	0
廷	郎	0
廷	元	0
廷	信	0
廷	民	0.017543859649122806
廷	盛	0
廷	楨	0
廷	子	0
廷	棠	0
廷	亡	0
廷	吏	0
廷	思	0
廷	備	0
廷	就	0
廷	究	0
廷	既	0
廷	志	0
廷	意	0
廷	祐	0
衍	相	0
衍	向	0
衍	讓	0
衍	竟	0
衍	養	0
衍	寧	0
衍	榮	0
衍	體	0
衍	膺	0
衍	三	0
衍	宜	0
衍	仕	0
衍	首	0
衍	市	0
衍	廷	0.017543859649122806
衍	旬	0
衍	質	0
衍	絕	0
衍	鼻	0
衍	寤	0
衍	黨	0
衍	怛	0
衍	蓋	0
衍	期	0
衍	位	0
衍	養	0.017543859649122806
衍	哉	0
衍	郎	0
衍	元	0
衍	信	0
衍	民	0.017543859649122806
衍	盛	0
衍	楨	0
衍	子	0
衍	棠	0
衍	亡	0
衍	吏	0
衍	思	0
衍	備	0
衍	就	0
衍	究	0
衍	既	0
衍	志	0
衍	意	0
衍	祐	0
相	向	0
相	讓	0
相	竟	0
相	養	0
相	寧	0
相	榮	0
相	體	0
相	膺	0
相	三	0
相	宜	0
相	仕	0
相	首	0
相	市	0
相	廷	0.017543859649122806
相	旬	0
相	質	0
相	絕	0
相	鼻	0
相	寤	0
相	黨	0
相	怛	0
相	蓋	0
相	期	0
相	位	0
相	養	0.017543859649122806
相	哉	0
相	郎	0
相	元	0
相	信	0
相	民	0.017543859649122806
相	盛	0
相	楨	0
相	子	0
相	棠	0
相	亡	0
相	吏	0
相	思	0
相	備	0
相	就	0
相	究	0
相	既	0
相	志	0
相	意	0
相	祐	0
向	讓	0
向	竟	0.25
向	養	0
向	寧	0
向	榮	0
向	體	0
向	膺	0
向	三	0
向	宜	0
向	仕	0
向	首	0
向	市	0
向	廷	0.017543859649122806
向	旬	0
向	質	0
向	絕	0
向	鼻	0
向	寤	0
向	黨	0
向	怛	0
向	蓋	0
向	期	0
向	位	0
向	養	0.017543859649122806
向	哉	0
向	郎	0
向	元	0
向	信	0
向	民	0.017543859649122806
向	盛	0
向	楨	0
向	子	0
向	棠	0
向	亡	0
向	吏	0
向	思	0
向	備	0
向	就	0
向	究	0
向	既	0
向	志	0
向	意	0
向	祐	0
讓	竟	0
讓	養	0
讓	寧	0
讓	榮	0
讓	體	0
讓	膺	0
讓	三	0
讓	宜	0
讓	仕	0
讓	首	0
讓	市	0
讓	廷	0.017543859649122806
讓	旬	0
讓	質	0
讓	絕	0
讓	鼻	0
讓	寤	0
讓	黨	0
讓	怛	0
讓	蓋	0
讓	期	0
讓	位	0
讓	養	0.017543859649122806
讓	哉	0
讓	郎	0
讓	元	0
讓	信	0
讓	民	0.017543859649122806
讓	盛	0
讓	楨	0
讓	子	0
讓	棠	0
讓	亡	0
讓	吏	0
讓	思	0
讓	備	0
讓	就	0
讓	究	0
讓	既	0
讓	志	0
讓	意	0
讓	祐	0
竟	養	0
竟	寧	0
竟	榮	0
竟	體	0
竟	膺	0
竟	三	0
竟	宜	0
竟	仕	0
竟	首	0
竟	市	1.0
竟	廷	0.017543859649122806
竟	旬	0
竟	質	0
竟	絕	0
竟	鼻	0
竟	寤	0
竟	黨	0
竟	怛	0
竟	蓋	0
竟	期	0
竟	位	0.25
竟	養	0.017543859649122806
竟	哉	0
竟	郎	0
竟	元	0
竟	信	1.0
竟	民	0.017543859649122806
竟	盛	0
竟	楨	0
竟	子	1.0
竟	棠	0
竟	亡	0
竟	吏	0
竟	思	0
竟	備	0
竟	就	0
竟	究	0
竟	既	0
竟	志	0
竟	意	0
竟	祐	0
養	寧	0
養	榮	0
養	體	0
養	膺	0
養	三	0
養	宜	0
養	仕	0
養	首	0
養	市	0
養	廷	0.017543859649122806
養	旬	0
養	質	0
養	絕	0
養	鼻	0
養	寤	0
養	黨	0
養	怛	0
養	蓋	0
養	期	0
養	位	0
養	養	0
養	哉	0
養	郎	0
養	元	0
養	信	0
養	民	0.017543859649122806
養	盛	0
養	楨	0
養	子	0
養	棠	0
養	亡	0
養	吏	0
養	思	0
養	備	0
養	就	0
養	究	0
養	既	0
養	志	0
養	意	0
養	祐	0
寧	榮	0.041666666666666664
寧	體	0
寧	膺	0
寧	三	0
寧	宜	0
寧	仕	0
寧	首	0
寧	市	0
寧	廷	0.017543859649122806
寧	旬	0
寧	質	0
寧	絕	0
寧	鼻	0
寧	寤	0
寧	黨	0
寧	怛	0
寧	蓋	0
寧	期	0
寧	位	0
寧	養	0.017543859649122806
寧	哉	0
寧	郎	0
寧	元	0
寧	信	0
寧	民	0.017543859649122806
寧	盛	0
寧	楨	0
寧	子	0
寧	棠	0
寧	亡	0
寧	吏	0
寧	思	0
寧	備	0
寧	就	0
寧	究	0
寧	既	0
寧	志	0
寧	意	0.25
寧	祐	0
榮	體	0
榮	膺	0
榮	三	0
榮	宜	0
榮	仕	0
榮	首	0
榮	市	0
榮	廷	0.017543859649122806
榮	旬	0
榮	質	0
榮	絕	0
榮	鼻	0
榮	寤	0
榮	黨	0
榮	怛	0
榮	蓋	0
榮	期	0
榮	位	0
榮	養	0.017543859649122806
榮	哉	0
榮	郎	0
榮	元	0
榮	信	0
榮	民	0.017543859649122806
榮	盛	0
榮	楨	0
榮	子	0
榮	棠	0
榮	亡	0
榮	吏	0
榮	思	0
榮	備	0
榮	就	0
榮	究	0
榮	既	0
榮	志	0
榮	意	0
榮	祐	0
體	膺	0
體	三	0
體	宜	0
體	仕	0
體	首	0
體	市	0
體	廷	0.017543859649122806
體	旬	0
體	質	0
體	絕	0
體	鼻	0
體	寤	0
體	黨	0
體	怛	0
體	蓋	0
體	期	0
體	位	0
體	養	0.017543859649122806
體	哉	0.045454545454545456
體	郎	0
體	元	0
體	信	0
體	民	0.017543859649122806
體	盛	0
體	楨	0
體	子	0
體	棠	0
體	亡	0
體	吏	0
體	思	0
體	備	0
體	就	0
體	究	0
體	既	0
體	志	0
體	意	0
體	祐	0
膺	三	0
膺	宜	0
膺	仕	0
膺	首	0
膺	市	0
膺	廷	0.017543859649122806
膺	旬	0
膺	質	0
膺	絕	0
膺	鼻	0
膺	寤	0
膺	黨	0
膺	怛	0
膺	蓋	0
膺	期	0
膺	位	0
膺	養	0.017543859649122806
膺	哉	0
膺	郎	0
膺	元	0
膺	信	0
膺	民	0.017543859649122806
膺	盛	0
膺	楨	0
膺	子	0
膺	棠	0
膺	亡	0
膺	吏	0
膺	思	0
膺	備	0
膺	就	0
