Mou2008.015.1.1： 惟平山a(un)君。
Mou2008.034.1.5： 君臣父e(iə)子。
Mou2008.034.1.6： 順孫弟f(ei)弟。
Mou2008.034.1.7： 二親薨h(uət)沒。
Mou2008.034.1.8： 孤悲惻i(ɑt)怛。
Mou2008.034.1.9： 嗚號正j(iɑt)月。
Mou2008.034.1.10： 旦夕思慕冱k(im)心。
Mou2008.034.1.11： 長网五l(uə)內。
Mou2008.034.1.12： 力求天m(ieŋ)命。
Mou2008.034.1.13： 年壽非n(uaŋ)永。
Mou2008.034.1.14： 百身莫o(ok)贖。
Mou2008.034.1.15： 欲廣祠p(iɑu)廟。
Mou2008.034.1.16： 尚無餘q(it)日。
Mou2008.034.1.17： 嗚a(ɑ)呼。
Mou2008.034.1.18： 匪愛力r(ə)財。
Mou2008.034.1.19： 迫於制a(ɑ)度。
Mou2008.034.1.20： 蓋欲章明孔子葬s(o)母。
Mou2008.034.1.21： 四尺之裔行上t(ək)德。
Mou2008.034.1.22： 比承前聖歲u(au)少。
Mou2008.034.1.23： 以降昭v(ɛi)皆。
Mou2008.034.1.24： 永為德w(iɑm)儉。
Mou2008.034.1.25： 人且記入於f(ei)禮。
Mou2008.034.1.26： 秦仙爰敢宣m(ieŋ)情。
Mou2008.034.1.27： 徵之斯x(ak)石。
Mou2008.034.1.28： 示有表y(iɑi)儀。
Mou2008.034.1.29： 孝弟之z(i)至。
Mou2008.034.1.30： 通於神aa(iaŋ)明。
Mou2008.034.1.31： 子孫奉e(iə)祠。
Mou2008.034.1.32： 欣肅c(in)慎焉。
Mou2008.044.1.1： 惟中嶽大a(it)室。
Mou2008.044.1.2： 崇高神b(un)君。
Mou2008.044.1.3： 處茲中c(a)夏。
Mou2008.044.1.4： 伐業最d(uən)純。
Mou2008.044.1.5： 春生萬e(ut)物。
Mou2008.044.1.6： 膚寸起b(un)雲。
Mou2008.044.1.7： 潤施原f(iu)流。
Mou2008.044.1.8： 鴻濛沛h(ian)宣。
Mou2008.044.1.9： 竝天四i(ə)海。
Mou2008.044.1.10： 莫不蒙j(ən)恩。
Mou2008.044.1.11： 聖朝肅k(ieŋ)敬。
Mou2008.044.1.12： 衆庶所d(uən)尊。
Mou2008.044.1.13： 齋誡奉l(iə)祀。
Mou2008.044.1.14： 戰慄盡j(ən)懃。
Mou2008.044.1.15： 以頌功m(ək)德。
Mou2008.044.1.16： 刻石紀b(un)文。
Mou2008.044.1.17： 垂顯述i(ə)異。
Mou2008.044.1.18： 以傳後n(im)賢。
Mou2008.051.1.1： 惟王孝a(uen)淵。
Mou2008.051.1.2： 嚴【己】毅【b(in)仁】。
Mou2008.051.1.3： □懷慷c(ə)慨。
Mou2008.051.1.4： □□□□。
Mou2008.051.1.5： □□□□。
Mou2008.051.1.6： 清約節d(iɑm)儉。
Mou2008.051.1.7： 進退應□。
Mou2008.051.1.8： □□□e(uk)福。
Mou2008.051.1.9： 莫□□□。
Mou2008.051.1.10： □乎鴻f(uɑt)發。
Mou2008.051.1.11： 紹內廷□□□□□□□□□穀□h(eŋ)聖。
Mou2008.051.1.12： □芬幽i(ɑn)蘭。
Mou2008.051.1.13： 伯□伯□。
Mou2008.051.1.14： □墳造j(ɑ)墓。
Mou2008.051.1.15： 蘭疏幽k(uɑŋ)房。
Mou2008.051.1.16： □□燿l(u)丘。
Mou2008.051.1.17： □禮□□。
Mou2008.051.1.18： □□勒m(ɔŋ)控。
Mou2008.051.1.19： □奉來n(uən)昆。
Mou2008.051.1.20： □履踰□。
Mou2008.051.1.21： □思竭□。
Mou2008.051.1.22： 鴻□維□。
Mou2008.051.1.23： □□隆o(uaŋ)榮。
Mou2008.051.1.24： 大協同p(ui)歸。
Mou2008.051.1.25： 石立□q(en)顯。
Mou2008.051.1.26： 爰示後r(a)世。
Mou2008.051.1.27： 台台勿k(uɑŋ)忘。
Mou2008.051.1.28： 子子孫n(uən)孫。
Mou2008.051.1.29： 秉承久s(ɑŋ)長。
Mou2008.058.1.1： 從事秉a(ək)德。
Mou2008.058.1.2： 如玉如b(uaŋ)瑩。
Mou2008.058.1.3： 表像所c(eŋ)挺。
Mou2008.058.1.4： 履方【所】（下闕）d(ɑŋ)上。
Mou2008.058.1.5： 勳力有c(eŋ)成。
Mou2008.058.1.6： 浩浩兾e(ɑ)圡。
Mou2008.058.1.7： 從事是（糹f(it)一八土）。
Mou2008.058.1.8： 所（下闕）是c(eŋ)屏。
Mou2008.058.1.9： 何寤不h(ui)遂。
Mou2008.058.1.10： 中年殀c(eŋ)苓。
Mou2008.058.1.11： 世喪模i(uɑm)範。
Mou2008.058.1.12： 朝以造茲漢安元c(eŋ)軨。
Mou2008.064.1.1： 君幼□顔閔之楙a(it)質。
Mou2008.064.1.2： 長敷斿夏之文b(ɔk)學。
Mou2008.064.1.3： 慈惠寬□。
Mou2008.064.1.4： 孝友玄c(iau)妙。
Mou2008.064.1.5： 苞羅術d(ia)蓺。
Mou2008.064.1.6： 貫洞聖□。
Mou2008.064.1.7： 博兼□□。
Mou2008.064.1.8： 耽綜典e(iak)籍。
Mou2008.064.1.9： □思□f(uən)純。
Mou2008.064.1.10： 求福不h(uəi)回。
Mou2008.064.1.11： 清聲美i(ɑŋ)行。
Mou2008.064.1.12： 闡形遠j(in)近。
Mou2008.064.1.13： 州郡貪其高賢幼k(au)少。
Mou2008.064.1.14： 請以□□歲l(iɑ)舉。
Mou2008.064.1.15： □翼紫m(uŋ)宮。
Mou2008.064.1.16： □□詔n(ɑ)除。
Mou2008.064.1.17： 光顯王a(it)室。
Mou2008.064.1.18： 有□於o(uək)國。
Mou2008.064.1.19： 帝庸p(ai)嘉之。
Mou2008.064.1.20： 掌司古□。
Mou2008.064.1.21： 領校秘q(uk)𨞓。
Mou2008.064.1.22： 研□幽r(ui)微。
Mou2008.064.1.23： 追昔劉s(iɑŋ)向。
Mou2008.064.1.24： 辯、賈之n(ɑ)徒。
Mou2008.064.1.25： 比□t(iɑn)萬矣。
Mou2008.064.1.26： 時戎□□。
Mou2008.064.1.27： 匡正一□。
Mou2008.064.1.28： □朝廷惟憂□□。
Mou2008.064.1.29： 有司□□舉u(un)君。
Mou2008.064.1.30： 斑到官之a(it)日。
Mou2008.064.1.31： □癘吏v(ə)士。
Mou2008.064.1.32： 哮虎之n(ɑ)怒。
Mou2008.064.1.33： 薄伐□□。
Mou2008.064.1.34： □□□□。
Mou2008.064.1.35： □□□w(eŋ)並。
Mou2008.064.1.36： 百姓n(ɑ)賴之。
Mou2008.064.1.37： 邦域既w(eŋ)寧。
Mou2008.064.1.38： 久勞于x(uɑ)外。
Mou2008.064.1.39： 當還本y(ɑu)朝。
Mou2008.064.1.40： 以敘左z(u)右。
Mou2008.064.1.41： 其辭曰：於惟武u(un)君。
Mou2008.064.1.42： 允德允aa(ɨoŋ)恭。
Mou2008.064.1.43： 受天休bb(ieŋ)命。
Mou2008.064.1.44： 積祉所cc(oŋ)鍾。
Mou2008.064.1.45： 其在孩dd(e)提。
Mou2008.064.1.46： 岐嶷發ee(ioŋ)蹤。
Mou2008.064.1.47： 謙□守c(iau)約。
Mou2008.064.1.48： 唯誼是ee(ioŋ)從。
Mou2008.064.1.49： 孝深《凱m(uŋ)風》。
Mou2008.064.1.50： 志絜《羔i(ɑŋ)羊》。
Mou2008.064.1.51： 樂是□□。
Mou2008.064.1.52： 恬此榮i(ɑŋ)光。
Mou2008.064.1.53： 孳孳臨ff(uan)川。
Mou2008.064.1.54： 闚見□s(iɑŋ)廧。
Mou2008.064.1.55： 𤹯仰萁z(u)首。
Mou2008.064.1.56： 微妙玄cc(oŋ)通。
Mou2008.064.1.57： □然清b(ɔk)邈。
Mou2008.064.1.58： □□□□。
Mou2008.064.1.59： □□【升□。
Mou2008.064.1.60： 爲帝股gg(uəŋ)肱。
Mou2008.064.1.61： 扶助大hh(uɑi)和。
Mou2008.064.1.62： 萬民迺cc(oŋ)蒙。
Mou2008.064.1.63： 顯宗□□。
Mou2008.064.1.64： 史官書cc(oŋ)功。
Mou2008.064.1.65： 昊天上dd(e)帝。
Mou2008.064.1.66： 𨹓茲鞠ii(uoŋ)凶。
Mou2008.064.1.67： 晻忽徂jj(a)逝。
Mou2008.064.1.68： □□□m(uŋ)宮。
Mou2008.064.1.69： 不享耆kk(o)耇。
Mou2008.064.1.70： 大命□□。
Mou2008.064.1.71： 百𨖒惟□。
Mou2008.064.1.72： 后帝感i(ɑŋ)傷。
Mou2008.064.1.73： 學夫喪ll(i)師。
Mou2008.064.1.74： 士女悽i(ɑŋ)愴。
Mou2008.064.1.75： 旌表金mm(ak)石。
Mou2008.064.1.76： 令問不nn(uɑŋ)忘。
Mou2008.064.1.77： 垂□後f(uən)昆。
Mou2008.064.1.78： 億載歎ee(ioŋ)誦。
Mou2008.069.1.1： 巖巖繆a(un)君。
Mou2008.069.1.2： 禮性純b(uk)淑。
Mou2008.069.1.3： 信心堅c(iaŋ)明。
Mou2008.069.1.4： □□□d(iə)備。
Mou2008.069.1.5： 京氏《易經》□□□。
Mou2008.069.1.6： 恭儉禮e(ɑŋ)讓。
Mou2008.069.1.7： 惠□□。
Mou2008.069.1.8： □□告□。
Mou2008.069.1.9： 念遠近敬f(ɨɑŋ)薌。
Mou2008.069.1.10： 少秉□里□□府h(ɑu)召。
Mou2008.069.1.11： 退辟□□。
Mou2008.069.1.12： 執念閭i(ɔŋ)巷。
Mou2008.069.1.13： □相□□。
Mou2008.069.1.14： □賢知j(ieŋ)命。
Mou2008.069.1.15： 復遇坐k(iɑk)席。
Mou2008.069.1.16： 要舞黑l(ut)紼。
Mou2008.077.1.1： 忉戃悔歷□消a(eŋ)㓝。
Mou2008.077.1.2： 斯志顛b(u)仆。
Mou2008.077.1.3： 心懷弗a(eŋ)寧。
Mou2008.077.1.4： 發憤脩c(ip)立。
Mou2008.077.1.5： 以顯光d(uaŋ)榮。
Mou2008.077.1.6： 惟乾動e(un)運。
Mou2008.077.1.7： 坤道靜a(eŋ)貞。
Mou2008.077.1.8： 夫人淑□。
Mou2008.077.1.9： □坤之a(eŋ)靈。
Mou2008.077.1.10： 十六適f(ə)配。
Mou2008.077.1.11： 教誨有a(eŋ)成。
Mou2008.077.1.12： □□□h(ɨaŋ)瑛。
Mou2008.077.1.13： 束脩舅i(ɑ)姑。
Mou2008.077.1.14： 絜己不j(ieŋ)廎。
Mou2008.077.1.15： 年踰七c(ip)十。
Mou2008.077.1.16： 如玉如□。
Mou2008.077.1.17： 陰陽喪i(ɑ)度。
Mou2008.077.1.18： 三㓻離k(ou)道。
Mou2008.077.1.19： 明星隕b(u)墜。
Mou2008.077.1.20： □□□l(əi)哀。
Mou2008.077.1.21： 寢疾固m(iau)銷。
Mou2008.077.1.22： 大命催□魂靈n(ui)歸。
Mou2008.080.1.1： 其文曰：皇戲統華a(iɑ)胥。
Mou2008.080.1.2： 承天畫b(uɛ)卦。
Mou2008.080.1.3： 顔育空c(ɑŋ)桑。
Mou2008.080.1.4： 孔制元d(au)孝。
Mou2008.080.1.5： 俱祖紫e(uŋ)宮。
Mou2008.080.1.6： 大一所f(u)授。
Mou2008.080.1.7： 前闓九h(o)頭。
Mou2008.080.1.8： 以󰶘言教；後制百i(uɑŋ)王。
Mou2008.080.1.9： 獲麟来j(ɑ)吐。
Mou2008.080.1.10： 制不空k(ɑk)作。
Mou2008.080.1.11： 承天之a(iɑ)語。
Mou2008.080.1.12： 乾元以l(ə)來。
Mou2008.080.1.13： 三九之l(ə)載。
Mou2008.080.1.14： 八皇三l(ə)代。
Mou2008.080.1.15： 至孔乃m(iə)備。
Mou2008.080.1.16： 聖人不n(a)世。
Mou2008.080.1.17： 期五百l(ə)載。
Mou2008.080.1.18： 三陽吐j(ɑ)圖。
Mou2008.080.1.19： 二隂出o(iam)讖。
Mou2008.080.1.20： 制作之p(iɑi)義。
Mou2008.080.1.21： 以俟知q(ou)奧。
Mou2008.080.1.22： 於穆韓r(un)君。
Mou2008.080.1.23： 獨見天m(iə)意。
Mou2008.080.1.24： 復聖二s(ok)族。
Mou2008.080.1.25： 逴越絕m(iə)思。
Mou2008.080.1.26： 脩造禮k(ɑk)樂。
Mou2008.080.1.27： 胡輦器t(oŋ)用。
Mou2008.080.1.28： 存古舊u(uɑ)宇。
Mou2008.080.1.29： 慇懃宅v(iɑu)廟。
Mou2008.080.1.30： 朝車威w(ɨə)熹。
Mou2008.080.1.31： 出誠造□。
Mou2008.080.1.32： 漆不水x(ɛ)解。
Mou2008.080.1.33： 工不爭n(a)賈。
Mou2008.080.1.34： 深除玄u(uɑ)汙。
Mou2008.080.1.35： 水通四h(o)注。
Mou2008.080.1.36： 禮器升c(ɑŋ)堂。
Mou2008.080.1.37： 天雨降h(o)澍。
Mou2008.080.1.38： 百姓訢y(uɑi)和。
Mou2008.080.1.39： 舉國蒙z(iaŋ)慶。
Mou2008.080.1.40： 神靈祐aa(eŋ)誠。
Mou2008.080.1.41： 竭敬之q(ou)報。
Mou2008.080.1.42： 天與厥bb(uk)福。
Mou2008.080.1.43： 永享牟f(u)壽。
Mou2008.080.1.44： 上極華cc(ie)紫。
Mou2008.080.1.45： 旁伎皇l(ə)代。
Mou2008.080.1.46： 刊石表aa(eŋ)銘。
Mou2008.080.1.47： 與乾運d(au)燿。
Mou2008.080.1.48： 長期蕩c(ɑŋ)蕩。
Mou2008.080.1.49： 於盛復f(u)授。
Mou2008.080.1.50： 赫赫罔e(uŋ)窮。
Mou2008.080.1.51： 聲垂億l(ə)載。
Mou2008.082.1.1： 其辭曰：於惟郎a(uŋ)中。
Mou2008.082.1.2： 寔天生b(ək)德。
Mou2008.082.1.3： 頙親誨c(ei)弟。
Mou2008.082.1.4： 虔恭竭d(ik)力。
Mou2008.082.1.5： 教我義e(uɑŋ)方。
Mou2008.082.1.6： 導我礼b(ək)則。
Mou2008.082.1.7： 傳宣孔f(iɑp)業。
Mou2008.082.1.8： 作世模d(ik)式。
Mou2008.082.1.9： 從政事h(ɑŋ)上。
Mou2008.082.1.10： 忠以自i(uok)勖。
Mou2008.082.1.11： 貢計王j(eŋ)庭。
Mou2008.082.1.12： 華夏歸k(uk)服。
Mou2008.082.1.13： 帝用l(ai)嘉之。
Mou2008.082.1.14： 顯拜殊b(ək)特。
Mou2008.082.1.15： 將從雅m(iə)意。
Mou2008.082.1.16： 色斯自b(ək)得。
Mou2008.082.1.17： 乃遭氛n(ə)災。
Mou2008.082.1.18： 隕命顛o(ɑ)沛。
Mou2008.082.1.19： 家失所o(ɑ)怙。
Mou2008.082.1.20： 國亡忠d(ik)直。
Mou2008.082.1.21： 俯哭誰o(ɑ)𧦡。
Mou2008.082.1.22： 卬唬焉p(ou)告。
Mou2008.082.1.23： 嗟嗟孟m(iə)子。
Mou2008.082.1.24： 苗而弗k(uk)毓。
Mou2008.082.1.25： 奉我元q(iaŋ)兄。
Mou2008.082.1.26： 󶠴孝罔d(ik)極。
Mou2008.082.1.27： 魂而有j(eŋ)靈。
Mou2008.082.1.28： 亦歆斯b(ək)勒。
Mou2008.086.1.1： 其辭曰：□永挺□□□□。
Mou2008.086.1.2： □聖□兮勳典a(ək)則。
Mou2008.086.1.3： □□□兮刺過b(ik)直。
Mou2008.086.1.4： 以謇愕兮□右c(ɨk)軄。
Mou2008.086.1.5： 抱□□兮十□□。
Mou2008.086.1.6： 身雖歿兮談不□。
Mou2008.086.1.7： 垂功烈兮光万c(ɨk)億。
Mou2008.087.1.1： 乃作頌曰：穆穆聖a(ɑŋ)蒼。
Mou2008.087.1.2： （下闕）表b(ieŋ)名。
Mou2008.087.1.3： 永久彌a(ɑŋ)光。
Mou2008.087.1.4： 無德不c(ou)報。
Mou2008.087.1.5： □□百a(ɑŋ)行。
Mou2008.087.1.6： 順禮（下闕）d(eŋ)聲。
Mou2008.087.1.7： 休嘉孔e(uŋ)融。
Mou2008.088.1.1： 其辭曰：泫泫淮a(iɑn)源。
Mou2008.088.1.2： 聖禹所導；湯湯其b(a)逝。
Mou2008.088.1.3： 惟海是c(ou)造。
Mou2008.088.1.4： 疏穢濟d(uɑn)遠。
Mou2008.088.1.5： 柔順其c(ou)道。
Mou2008.088.1.6： 弱而能e(ɨɑŋ)强。
Mou2008.088.1.7： 仁而能f(uɑ)武。
Mou2008.088.1.8： □□晝b(a)夜。
Mou2008.088.1.9： 明哲所h(io)取。
Mou2008.088.1.10： 寔爲四i(ok)瀆。
Mou2008.088.1.11： 與河合j(iɑ)矩。
Mou2008.088.1.12： 烈烈明k(uo)府。
Mou2008.088.1.13： 好古之l(ək)則。
Mou2008.088.1.14： 虔恭禮m(iə)祀。
Mou2008.088.1.15： 不愆其l(ək)德。
Mou2008.088.1.16： 惟前廢n(e)弛。
Mou2008.088.1.17： 匪躬匪o(ik)力。
Mou2008.088.1.18： 災眚以p(iŋ)興。
Mou2008.088.1.19： 陰陽以l(ək)忒。
Mou2008.088.1.20： 陟彼高q(ɑŋ)岡。
Mou2008.088.1.21： 臻茲廟o(ik)側。
Mou2008.088.1.22： 肅肅其r(ieŋ)敬。
Mou2008.088.1.23： 靈祇降s(uk)福。
Mou2008.088.1.24： 雍雍其t(uɑi)和。
Mou2008.088.1.25： 民用悅s(uk)服。
Mou2008.088.1.26： 穰穰其u(iaŋ)慶。
Mou2008.088.1.27： 年穀豐o(ik)殖。
Mou2008.088.1.28： 望君輿v(ai)駕。
Mou2008.088.1.29： 扶老攜o(ik)息。
Mou2008.088.1.30： 慕君塵w(uɨ)軌。
Mou2008.088.1.31： 𠬼走忘m(iə)食。
Mou2008.088.1.32： 懷君恵x(ie)賜。
Mou2008.088.1.33： 思君罔o(ik)極。
Mou2008.088.1.34： 于胥y(ɔk)樂兮。
Mou2008.088.1.35： 傳于萬z(ɨk)億。
Mou2008.089.1.1： 其辭曰：父a(oŋ)通。
Mou2008.089.1.2： 本治白孟《易》丁君章b(o)句。
Mou2008.089.1.3： 師事上黨鮑a(oŋ)公。
Mou2008.089.1.4： 故郡掾史、功曹主c(i)簿。
Mou2008.089.1.5： 載□□d(ɑm)三。
Mou2008.089.1.6： 卦位蹇e(ui)微。
Mou2008.089.1.7： 遂不□f(iə)起。
Mou2008.089.1.8： 掩然至h(ie)斯。
Mou2008.089.1.9： 孤子推i(uoŋ)胸。
Mou2008.089.1.10： 痛當奈j(ɑi)何。
Mou2008.089.1.11： 婦孫□□。
Mou2008.089.1.12： 靡不感k(ɨ)悲。
Mou2008.089.1.13： 臨兄弟四：兄長l(in)真。
Mou2008.089.1.14： 年加伯m(uŋ)仲。
Mou2008.089.1.15： 立子三l(in)人。
Mou2008.089.1.16： 委遰子□。
Mou2008.089.1.17： 弟均□n(oi)過。
Mou2008.089.1.18： 蚤離春o(u)秋。
Mou2008.089.1.19： 永歸長p(a)夜。
Mou2008.089.1.20： 昭代不q(ip)立。
Mou2008.089.1.21： 言之切痛傷人r(im)心。
Mou2008.089.1.22： 所謂苗能不o(u)秀。
Mou2008.089.1.23： 秀能不s(it)實。
Mou2008.089.1.24： 昔武王遭c(i)疾。
Mou2008.089.1.25： 賴有周a(oŋ)公。
Mou2008.089.1.26： 為王殘t(ieŋ)命。
Mou2008.089.1.27： 復得延u(en)年。
Mou2008.089.1.28： □有窮□。
Mou2008.089.1.29： □□若v(ɑŋ)喪。
Mou2008.089.1.30： 由斯w(iɑn)言之。
Mou2008.089.1.31： 命有𢭃v(ɑŋ)長。
Mou2008.089.1.32： 追念父x(ən)恩。
Mou2008.089.1.33： 不可稱l(in)陳。
Mou2008.089.1.34： 將作丘i(uoŋ)封。
Mou2008.089.1.35： 因序祖u(en)先。
Mou2008.089.1.36： 適□礿f(iə)祠。
Mou2008.089.1.37： 蒸嘗魂y(eŋ)靈。
Mou2008.089.1.38： 富貴無v(ɑŋ)恙。
Mou2008.089.1.39： 傳于子z(uən)孫。
Mou2008.089.1.40： □之無aa(iaŋ)竟。
Mou2008.089.1.41： 亂曰：陰陽變bb(uai)化。
Mou2008.089.1.42： 四時cc(un)分兮。
Mou2008.089.1.43： 人命短v(ɑŋ)長。
Mou2008.089.1.44： 伹不dd(ən!)存兮。
Mou2008.089.1.45： 改華易s(it)實。
Mou2008.089.1.46： 震垢l(in)塵兮。
Mou2008.089.1.47： 緯象泰t(ieŋ)清。
Mou2008.089.1.48： 集神x(ən)門兮。
Mou2008.089.1.49： 日月照ee(iu)幽。
Mou2008.089.1.50： 時晝z(uən)昏兮。
Mou2008.089.1.51： 精感惟p(a)世。
Mou2008.089.1.52： 擬獲l(in)驎兮。
Mou2008.089.1.53： 悲傷永ff(iat)絕。
Mou2008.089.1.54： 失壽u(en)年兮。
Mou2008.089.1.55： 升車下y(eŋ)征。
Mou2008.089.1.56： 赴黃gg(ian)泉兮。
Mou2008.089.1.57： 嗚呼哀hh(ə)哉。
Mou2008.089.1.58： 義割x(ən)恩兮。
Mou2008.090.1.1： 其辭曰：天作高a(an)山。
Mou2008.090.1.2： 寔惟封b(ɔŋ)龍。
Mou2008.090.1.3： 平地特c(iə)起。
Mou2008.090.1.4： 靈亮上d(oŋ)通。
Mou2008.090.1.5： 嵯峨𡷽e(uin)峻。
Mou2008.090.1.6： 高麗無b(ɔŋ)雙。
Mou2008.090.1.7： 神燿赫f(ak)赫。
Mou2008.090.1.8： 理物含h(ɑŋ)光。
Mou2008.090.1.9： 賛天休i(ieŋ)命。
Mou2008.090.1.10： 德合无j(iɑŋ)疆。
Mou2008.090.1.11： 惠此邦k(uək)域。
Mou2008.090.1.12： 以綏四l(uɑŋ)方。
Mou2008.090.1.13： 國富年m(uŋ)豐。
Mou2008.090.1.14： 穡民用h(ɑŋ)章。
Mou2008.090.1.15： 刻石紀n(eŋ)銘。
Mou2008.090.1.16： 令德不l(uɑŋ)忘。
Mou2008.091.1.1： 其辭曰：於顯我a(un)君。
Mou2008.091.1.2： 懿德惟b(ɑŋ)光。
Mou2008.091.1.3： 紹聖作c(o)儒。
Mou2008.091.1.4： 身立名b(ɑŋ)彰。
Mou2008.091.1.5： 貢登王d(it)室。
Mou2008.091.1.6： 閽閣e(e)是。
Mou2008.091.1.7： 夙夜□□。
Mou2008.091.1.8： 在公明f(iaŋ)明。
Mou2008.091.1.9： 乃綏二h(en)縣。
Mou2008.091.1.10： 𥡓儀以b(ɑŋ)康。
Mou2008.091.1.11： 於丌時i(uoŋ)廱。
Mou2008.091.1.12： 撫茲岱j(uɑŋ)方。
Mou2008.091.1.13： 帥彼凶k(in)人。
Mou2008.091.1.14： 覆俾□□。
Mou2008.091.1.15： 南畝孔l(ɑp)饁。
Mou2008.091.1.16： 山有夷b(ɑŋ)行。
Mou2008.091.1.17： 豐年多m(ɑ)黍。
Mou2008.091.1.18： 稱彼兕n(uaŋ)觥。
Mou2008.091.1.19： 帝賴其a(un)勳。
Mou2008.091.1.20： 民斯是j(uɑŋ)皇。
Mou2008.091.1.21： 疾□□□。
Mou2008.091.1.22： 乃委其n(uaŋ)榮。
Mou2008.091.1.23： 忠告慇k(in)勤。
Mou2008.091.1.24： 屢省乃o(eŋ)聽。
Mou2008.091.1.25： 恭儉自p(uŋ)終。
Mou2008.091.1.26： 盙簋不k(in)敶。
Mou2008.091.1.27： 生播高m(ɑ)譽。
Mou2008.091.1.28： 歿垂令h(en)名。
Mou2008.091.1.29： 永矢不q(ɑn)刊。
Mou2008.091.1.30： 億載揚o(eŋ)聲。
Mou2008.092.1.1： 其辭曰：巖巖西a(ɔk)嶽。
Mou2008.092.1.2： 峻極穹b(ɑŋ)蒼。
Mou2008.092.1.3： 奄有河a(ɔk)朔。
Mou2008.092.1.4： 遂荒崋b(ɑŋ)陽。
Mou2008.092.1.5： 觸石興c(un)雲。
Mou2008.092.1.6： 雨我農b(ɑŋ)桑。
Mou2008.092.1.7： 資糧品d(ut)物。
Mou2008.092.1.8： 亦相瑤b(ɑŋ)光。
Mou2008.092.1.9： 崇冠二e(u)州。
Mou2008.092.1.10： 古曰雍f(iɑŋ)梁。
Mou2008.092.1.11： 馮于豳h(ie)岐。
Mou2008.092.1.12： 文武克b(ɑŋ)昌。
Mou2008.092.1.13： 天子展i(iɑi)義。
Mou2008.092.1.14： 巡狩省j(uɑŋ)方。
Mou2008.092.1.15： 玉帛之k(i)贄。
Mou2008.092.1.16： 禮與岱b(ɑŋ)亢。
Mou2008.092.1.17： 《六樂》之l(iɑn)變。
Mou2008.092.1.18： 舞以致b(ɑŋ)康。
Mou2008.092.1.19： 在漢中m(ɑp)葉。
Mou2008.092.1.20： 建設宇b(ɑŋ)堂。
Mou2008.092.1.21： 山嶽之e(u)守。
Mou2008.092.1.22： 是秩是j(uɑŋ)望。
Mou2008.092.1.23： 侯惟安n(uək)國。
